source_index,report_id,indicator_id,original_status,original_value,original_unit,original_evidence_quote,original_page_no,original_block_id,final_status,final_value,final_unit,final_qualitative_text,final_evidence_quote,final_page_no,final_block_id,final_block_type,rationale,reviewer,reviewed_at
19,002048_宁波华翔_2025_ESG报告,s_data_security,error,true,,"信息安全与客户隐私保护...泄露客户隐私次数 0...隐私与数据安全培训总时长 8,936",47,002048_宁波华翔_2025_ESG报告:p47:b2,found,true,,"泄露客户隐私次数 | 宗 | 0 | 0 | 0 
隐私与数据安全培训总时长 | 小时 | 8,936 | 8,856 | 5,957","泄露客户隐私次数 | 宗 | 0 | 0 | 0 
隐私与数据安全培训总时长 | 小时 | 8,936 | 8,856 | 5,957",47,002048_宁波华翔_2025_ESG报告:p47:b2,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
20,002203_海亮股份_2025_ESG报告,s_human_rights,error,true,,制定《海亮股份招聘管理办法》，明确禁止任何形式的就业歧视，严禁雇用童工和强迫劳动，确保用工符合法律法规。,35,002203_海亮股份_2025_ESG报告:p35:b4,found,true,,面覆盖招聘需求分析、渠道选择、简历筛选、面试安排、录用决策、背景调查以及新员工入职安排等环节，形成高效的雇佣管理体系。我们致力于促进平等机会，制定《海亮股份招聘管理办法》，明确禁止任何形式的就业歧视，严禁雇用童工和强迫劳动，确保用工符合《中,面覆盖招聘需求分析、渠道选择、简历筛选、面试安排、录用决策、背景调查以及新员工入职安排等环节，形成高效的雇佣管理体系。我们致力于促进平等机会，制定《海亮股份招聘管理办法》，明确禁止任何形式的就业歧视，严禁雇用童工和强迫劳动，确保用工符合《中华人民共和国劳动法》《未成年人保护法》等法律法规以及各运营所在地的劳动用工要求。,35,002203_海亮股份_2025_ESG报告:p35:b4,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
21,002326_永太科技_2025_ESG报告,e_particulate,error,0.62,吨,废气排放情况 颗粒物 | 吨 | 0.62,48,002326_永太科技_2025_ESG报告:p48:b5,found,0.62,吨,,颗粒物 | 吨 | 0.62,48,002326_永太科技_2025_ESG报告:p48:b5,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
22,002444_巨星科技_2025_ESG报告,s_community_investment,error,125.29,万元人民币,社会公益投入金额 | 单位 | 2025年 社会公益投入金额 | 万元人民币 | 125.29,47,002444_巨星科技_2025_ESG报告:p47:b6,found,125.29,万元人民币,,社会公益投入金额 | 万元人民币 | 125.29,47,002444_巨星科技_2025_ESG报告:p47:b6,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
23,002490_山东墨龙_2025_ESG报告,s_employee_gender,error,349,人,按性别 | 女性 | 人 | 386 | 349,73,002490_山东墨龙_2025_ESG报告:p73:b0,found,349,人,,"员工雇佣数据 | 员工总数 | 人 | 1,339 | 1,268 
按性别 | 男性 | 人 | 953 | 919 
女性 | 人 | 386 | 349",73,002490_山东墨龙_2025_ESG报告:p73:b0,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
24,002490_山东墨龙_2025_ESG报告,s_work_injury,error,2,起,工伤事故起数 | 起 | 8 | 2 工伤人数 | 人 | 8 | 2 因工死亡事故起数 | 起 | 0 | 0,71,002490_山东墨龙_2025_ESG报告:p71:b0,found,2,起,,工伤事故起数 | 起 | 14 | 8 | 2,43,002490_山东墨龙_2025_ESG报告:p43:b2,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
25,002490_山东墨龙_2025_ESG报告,g_information_disclosure,error,,,公司高度重视信息披露工作，严格按照有关法律法规以及《信息披露管理制度》等相关要求，规范信息披露的内容、形式、流程、责任划分与保密管理，通过境内外指定披露平台，同步发布会议通知、决议公告等重要信息，保障全体投资者公平、公正、公开获取公司信息，持续提升信息披露质量与公司治理透明度。,17,002490_山东墨龙_2025_ESG报告:p17:b18,found,,,作，严格按照有关法律法规以及《信息披露管理制度》《深圳证券交易所上市公司自律监管指引第5号——信息披露事务管理》等相关要求，规范信息披露的内容、形式、流程、责任划分与保密管理，通过境内外指定披露平台，同步发布会议通知、决议公告等重要信息，保,作，严格按照有关法律法规以及《信息披露管理制度》《深圳证券交易所上市公司自律监管指引第5号——信息披露事务管理》等相关要求，规范信息披露的内容、形式、流程、责任划分与保密管理，通过境内外指定披露平台，同步发布会议通知、决议公告等重要信息，保障全体投资者公平、公正、公开获取公司信息，持续提升信息披露质量与公司治理透明度。,17,002490_山东墨龙_2025_ESG报告:p17:b18,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
26,002533_金杯电工_2025_ESG报告,s_safety,error,,,依托《中华人民共和国安全生产法》等法规要求，公司搭建覆盖责任落实、安全教育、危险作业等全场景的专项管理制度体系，总部及部分子公司通过安全ISO安全45001职业健康安全管理体系认证，形成“制度引领、责任压实、全员参与”的管理模式。,41,002533_金杯电工_2025_ESG报告:p41:b0,found,,,依托《中华人民共和国安全生产法》《中华人民共和国职业病防治法》等法规要求，公司搭建覆盖责任落实、安全教育、危险作业等全场景的专项管理制度体系，总部及部分子公司通过安全ISO安全45001职业健康安全管理体系认证，形成“制度引领、责任压实、全,依托《中华人民共和国安全生产法》《中华人民共和国职业病防治法》等法规要求，公司搭建覆盖责任落实、安全教育、危险作业等全场景的专项管理制度体系，总部及部分子公司通过安全ISO安全45001职业健康安全管理体系认证，形成“制度引领、责任压实、全员参与”的管理模式。通过月度全面检查、100%覆盖的全员健康体检、年度职业病检测,41,002533_金杯电工_2025_ESG报告:p41:b0,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
27,002533_金杯电工_2025_ESG报告,s_supplier,error,true,,公司制定《供应商准入管理制度》等制度，强化供应商的动态发现、评价更新机制，围绕供方认证、分类分级、绩效评估、考察培养及退出管理为供应商构建了全生命周期管理体系。,33,002533_金杯电工_2025_ESG报告:p33:b3,found,true,,《供应商准入管理制度》《生产性物料供应商管理制度》《设备供方评价管理制度》《供应商分类管理办法》等制度，强化供应商的动态发现、评价更新机制，围绕供方认证、分类分级、绩效评估、考察培养及退出管理为供应商构建了全生命周期管理体系。同时，通过签订,《供应商准入管理制度》《生产性物料供应商管理制度》《设备供方评价管理制度》《供应商分类管理办法》等制度，强化供应商的动态发现、评价更新机制，围绕供方认证、分类分级、绩效评估、考察培养及退出管理为供应商构建了全生命周期管理体系。同时，通过签订《供应商行为准则》《履约保证协议》等协议约束强化合规保障，要求其遵守环保、安全及,33,002533_金杯电工_2025_ESG报告:p33:b3,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
28,002663_普邦股份_2025_ESG报告,s_employee_rights,error,,,员工关注议题：薪酬与福利、发展与培训、健康与安全、民主管理。沟通与回应：完善薪酬福利体系、建立职业晋升路径、开展员工关怀、职业病防护与体检、职工代表大会。,7,002663_普邦股份_2025_ESG报告:p7:b2,found,,,护生态环境·响应国家战略·提供就业岗位·履行社会责任 | ·股东会·定期报告及临时公告·日常沟通(电话、邮件、互动易平台)·投资者活动·内控审计 | ·完善薪酬福利体系·建立职业晋升路径·开展员工关怀·职业病防护与体检·职工代表大会 | ·,护生态环境·响应国家战略·提供就业岗位·履行社会责任 | ·股东会·定期报告及临时公告·日常沟通(电话、邮件、互动易平台)·投资者活动·内控审计 | ·完善薪酬福利体系·建立职业晋升路径·开展员工关怀·职业病防护与体检·职工代表大会 | ·反商业贿赂及反贪污·客户拜访·客户服务热线·满意度调查·监督举报机制·保障信息安,7,002663_普邦股份_2025_ESG报告:p7:b2,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
29,002663_普邦股份_2025_ESG报告,g_stakeholder_communication,error,,,沟通与回应：·股东会·定期报告及临时公告·日常沟通(电话、邮件、互动易平台)·投资者活动·内控审计 ·完善薪酬福利体系·建立职业晋升路径·开展员工关怀 ·反商业贿赂及反贪污·客户拜访·客户服务热线·满意度调查 ·反不正当竞争·技术创新·行业论坛、活动 ·绿色运营·污染防控·社区活动·公益慈善,7,002663_普邦股份_2025_ESG报告:p7:b2,found,,,回应 | ·遵守法律法规·依法足额纳税·接受检查和监督·保护生态环境·响应国家战略·提供就业岗位·履行社会责任 | ·股东会·定期报告及临时公告·日常沟通(电话、邮件、互动易平台)·投资者活动·内控审计 | ·完善薪酬福利体系·建立职业晋升,回应 | ·遵守法律法规·依法足额纳税·接受检查和监督·保护生态环境·响应国家战略·提供就业岗位·履行社会责任 | ·股东会·定期报告及临时公告·日常沟通(电话、邮件、互动易平台)·投资者活动·内控审计 | ·完善薪酬福利体系·建立职业晋升路径·开展员工关怀·职业病防护与体检·职工代表大会 | ·反商业贿赂及反贪污·客,7,002663_普邦股份_2025_ESG报告:p7:b2,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
30,002663_普邦股份_2025_ESG报告,g_cybersecurity_governance,error,,,实施全面数据备份、常态化病毒防治、严格远程访问管控、完善应急响应机制、部署双重防火墙屏障、深化日志审计与漏洞排查。,17,002663_普邦股份_2025_ESG报告:p17:b24,found,,,"I[""深化日志审计与漏洞排查""] --> J[""网络安全风险管理核心举措""]","I[""深化日志审计与漏洞排查""] --> J[""网络安全风险管理核心举措""]",17,002663_普邦股份_2025_ESG报告:p17:b24,image,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
31,002692_远程股份_2026_ESG报告,e_waste_total,error,93.52,吨,一般废弃物产生量 吨 62.58 62.28 危险废物产生量 吨 30.94 52.37,28,002692_远程股份_2026_ESG报告:p28:b4,missing,,,,,,,,候选块仅披露废弃物分项，未直接披露93.52吨总量；禁止人工加总。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
32,002692_远程股份_2026_ESG报告,s_product_quality,error,,,公司制定并实施《质量管理办法》等管理制度，实现对产品生产与服务提供的全流程规范化管控。公司设立了质量管理机构，推动质量策划、控制、保证与改进。,39,002692_远程股份_2026_ESG报告:p39:b6,found,,,《中华人民共和国产品质量法》等法律法规要求，系统构建并持续完善质量管理体系。公司制定并实施《质量管理办法》《电线电缆产品质量安全管理制度》《质量管理控制程序》《不合格输出的控制、召回程序》等管理制度，实现对产品生产与服务提供的全流程规范化管,《中华人民共和国产品质量法》等法律法规要求，系统构建并持续完善质量管理体系。公司制定并实施《质量管理办法》《电线电缆产品质量安全管理制度》《质量管理控制程序》《不合格输出的控制、召回程序》等管理制度，实现对产品生产与服务提供的全流程规范化管控。公司在确保环境与职业健康安全受控的前提下，持续为客户提供高品质的产品与服务。,39,002692_远程股份_2026_ESG报告:p39:b6,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
33,002807_江阴银行_2025_ESG报告,e_ghg_total,error,"10,957.22",吨二氧化碳当量,"温室气体排放总量(范围一和范围二) | 吨二氧化碳当量 | 10,957.22",14,002807_江阴银行_2025_ESG报告:p14:b3,found,"10,957.22",吨二氧化碳当量,,"温室气体排放总量(范围一和范围二) $^{1}$ | 吨二氧化碳当量 | 10,957.22",14,002807_江阴银行_2025_ESG报告:p14:b3,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
34,002807_江阴银行_2025_ESG报告,e_energy_total,error,"2,414.95",吨标准煤,"能源消耗总量 | 吨标准煤 | 2,414.95",19,002807_江阴银行_2025_ESG报告:p19:b17,found,"2,414.95",吨标准煤,,"能源消耗总量 $^{1}$ | 吨标准煤 | 2,414.95",19,002807_江阴银行_2025_ESG报告:p19:b17,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
35,002807_江阴银行_2025_ESG报告,g_cybersecurity_governance,error,,,本行严格遵循《中华人民共和国网络安全法》等法律法规，制定《信息安全管理制度》《网络安全管理办法》等一系列政策制度和管理规范，构筑完善的信息安全与数据管理体系，建立信息安全事件自动预警机制。,31,002807_江阴银行_2025_ESG报告:p31:b35,found,,,人信息保护法》《中华人民共和国国家安全法》等法律法规，制定《信息安全管理制度》《网络安全管理办法》《信息资产安全管理办法》《数据安全管理办法》《数据安全事件应急管理办法》等一系列政策制度和管理规范，构筑完善的信息安全与数据管理体系，建立信息,人信息保护法》《中华人民共和国国家安全法》等法律法规，制定《信息安全管理制度》《网络安全管理办法》《信息资产安全管理办法》《数据安全管理办法》《数据安全事件应急管理办法》等一系列政策制度和管理规范，构筑完善的信息安全与数据管理体系，建立信息安全事件自动预警机制，确保公司信息基础建设、信息应用系统、产品和客户的信息安全。,31,002807_江阴银行_2025_ESG报告:p31:b35,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
36,002851_麦格米特_2025_ESG暨社会责任报告,e_waste_total,error,2098.74,吨,"有害废弃物总量 吨 152.27 无害废弃物总量 吨 1,946.47",47,002851_麦格米特_2025_ESG暨社会责任报告:p47:b0,missing,,,,,,,,"候选块仅披露一般固废1,946.47吨和危险废弃物152.27吨，未直接披露2,098.74吨总量；禁止人工加总。",codex-agent-a,2026-08-23T16:18:18.785641+00:00
37,002886_沃特股份_2025_ESG报告,s_customer_satisfaction,error,96.22,分,2025 客户满意度(分) | 96.22,26,002886_沃特股份_2025_ESG报告:p26:b33,found,96.22,分,,客户满意度(分) | 95.36 | 95.85 | 96.22,26,002886_沃特股份_2025_ESG报告:p26:b33,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
