indicator_id,indicator_name,dimension,indicator_type,original_indicator_type,keywords,common_units,is_core,source_decision,coverage_rate,usable_rate,dominant_error_type,selection_reason,original_keywords,keyword_revision_reason
g_compliance_management,合规管理,G,boolean,qualitative,合规管理|合规体系|合规风险|依法合规|合规管理体系|合规管理制度|合规风险管理,,True,keep,0.8400,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,合规管理|合规体系|合规风险|依法合规,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_risk_management,风险管理体系,G,boolean,qualitative,风险管理|内控体系|内部控制|风险防控|风险管理体系|风险管理机制|内部控制体系,,True,keep,0.8700,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,风险管理|内控体系|内部控制|风险防控,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_business_ethics,商业道德,G,boolean,qualitative,商业道德|诚信经营|道德准则|职业道德|商业道德准则|诚信经营制度|职业道德规范,,True,keep,0.7800,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,商业道德|诚信经营|道德准则|职业道德,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_tax_transparency,税务透明,G,qualitative,qualitative,税务透明|依法纳税|税务合规|纳税,,True,keep,0.6300,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,税务透明|依法纳税|税务合规|纳税,未修改；formal_v1 辅助质检显示证据可用率较高。
g_information_disclosure,信息披露,G,qualitative,qualitative,信息披露|披露透明|投资者关系|公告披露,,True,keep,0.9600,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,信息披露|披露透明|投资者关系|公告披露,未修改；formal_v1 辅助质检显示证据可用率较高。
g_investor_relations,投资者关系,G,qualitative,qualitative,投资者关系|投资者沟通|业绩说明会|投资者交流,,True,keep,0.8100,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,投资者关系|投资者沟通|业绩说明会|投资者交流,未修改；formal_v1 辅助质检显示证据可用率较高。
g_cybersecurity_governance,网络安全治理,G,qualitative,qualitative,网络安全|信息安全治理|网络安全管理|数据治理,,True,keep,0.6500,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,网络安全|信息安全治理|网络安全管理|数据治理,未修改；formal_v1 辅助质检显示证据可用率较高。
g_audit_committee,审计委员会,G,boolean,qualitative,审计委员会|审计与风险委员会|内部审计|审计委员会职责|审计委员会机制|内部审计机制,,True,keep,0.8200,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,审计委员会|审计与风险委员会|内部审计,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_party_building,党建工作,G,boolean,qualitative,党建|党组织|党的建设|党委|党建工作机制|党组织建设|党建责任制,,True,keep,0.5900,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,党建|党组织|党的建设|党委,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_ghg_scope1,直接温室气体排放量,E,quantitative,quantitative,范围一排放|范围1排放|直接温室气体排放|直接排放量|吨二氧化碳当量|tCO2e,吨二氧化碳当量|tCO2e,True,revise_keywords,0.6900,0.6667,keyword_false_positive,formal_v1 建议 revise_keywords；usable_rate=0.6667，通过最小关键词收窄后纳入小样本验证。,范围一|范围1|直接温室气体排放|Scope 1,删除“范围一/范围1”泛词，增加排放量和单位限定。
e_ghg_scope2,间接温室气体排放量,E,quantitative,quantitative,范围二排放|范围2排放|间接温室气体排放|外购电力排放|吨二氧化碳当量|tCO2e,吨二氧化碳当量|tCO2e,True,revise_keywords,0.6400,0.6667,keyword_false_positive,formal_v1 建议 revise_keywords；usable_rate=0.6667，通过最小关键词收窄后纳入小样本验证。,范围二|范围2|间接温室气体排放|Scope 2,删除“范围二/范围2”泛词，增加排放来源和单位限定。
e_renewable_energy,可再生能源使用量,E,quantitative,quantitative,可再生能源使用量|绿电使用量|绿色电力采购量|可再生能源占比|兆瓦时|MWh|千瓦时,千瓦时|兆瓦时|%,True,revise_keywords,0.8600,0.6667,keyword_false_positive,formal_v1 建议 revise_keywords；usable_rate=0.6667，通过最小关键词收窄后纳入小样本验证。,可再生能源|绿色电力|绿电|清洁能源,删除“清洁能源”泛词，增加使用量、占比和电量单位限定。
s_training,员工培训,S,quantitative,quantitative,员工培训总时长|人均培训时长|培训人次|培训小时|培训覆盖人数,小时|万元,True,revise_keywords,0.7800,0.6667,keyword_false_positive,formal_v1 建议 revise_keywords；usable_rate=0.6667，通过最小关键词收窄后纳入小样本验证。,员工培训|培训总时长|培训投入|培训小时,删除单独“员工培训”泛词，增加时长、人次和人数限定。
g_materiality_assessment,实质性议题评估,G,qualitative,qualitative,实质性议题评估|重要性议题评估|双重重要性评估|议题矩阵|重要性矩阵,,True,revise_keywords,0.7900,0.6667,keyword_false_positive,formal_v1 建议 revise_keywords；usable_rate=0.6667，通过最小关键词收窄后纳入小样本验证。,实质性议题|重要性评估|议题矩阵|双重重要性,删除单独“实质性议题”泛词，增加评估和矩阵限定。
