indicator_id,indicator_name,selected,source_decision,dominant_error_type,original_keywords,revised_keywords,revision_reason
g_risk_management,风险管理体系,yes,keep,none,风险管理|内控体系|内部控制|风险防控,风险管理|内控体系|内部控制|风险防控|风险管理体系|风险管理机制|内部控制体系,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_business_ethics,商业道德,yes,keep,none,商业道德|诚信经营|道德准则|职业道德,商业道德|诚信经营|道德准则|职业道德|商业道德准则|诚信经营制度|职业道德规范,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_audit_committee,审计委员会,yes,keep,none,审计委员会|审计与风险委员会|内部审计,审计委员会|审计与风险委员会|内部审计|审计委员会职责|审计委员会机制|内部审计机制,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_party_building,党建工作,yes,keep,none,党建|党组织|党的建设|党委,党建|党组织|党的建设|党委|党建工作机制|党组织建设|党建责任制,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_ghg_scope1,直接温室气体排放量,yes,revise_keywords,keyword_false_positive,范围一|范围1|直接温室气体排放|Scope 1,范围一排放|范围1排放|直接温室气体排放|直接排放量|吨二氧化碳当量|tCO2e,删除“范围一/范围1”泛词，增加排放量和单位限定。
e_ghg_scope2,间接温室气体排放量,yes,revise_keywords,keyword_false_positive,范围二|范围2|间接温室气体排放|Scope 2,范围二排放|范围2排放|间接温室气体排放|外购电力排放|吨二氧化碳当量|tCO2e,删除“范围二/范围2”泛词，增加排放来源和单位限定。
e_renewable_energy,可再生能源使用量,yes,revise_keywords,keyword_false_positive,可再生能源|绿色电力|绿电|清洁能源,可再生能源使用量|绿电使用量|绿色电力采购量|可再生能源占比|兆瓦时|MWh|千瓦时,删除“清洁能源”泛词，增加使用量、占比和电量单位限定。
s_training,员工培训,yes,revise_keywords,keyword_false_positive,员工培训|培训总时长|培训投入|培训小时,员工培训总时长|人均培训时长|培训人次|培训小时|培训覆盖人数,删除单独“员工培训”泛词，增加时长、人次和人数限定。
g_materiality_assessment,实质性议题评估,yes,revise_keywords,keyword_false_positive,实质性议题|重要性评估|议题矩阵|双重重要性,实质性议题评估|重要性议题评估|双重重要性评估|议题矩阵|重要性矩阵,删除单独“实质性议题”泛词，增加评估和矩阵限定。
e_wastewater,废水排放量,no,revise_keywords,value_missing,废水排放|污水排放|排水量,废水排放量|污水排放量|废水排放总量|立方米|吨,增加排放量和单位限定，减少“排水量”泛化误命中。；本轮未进入 formal_v2，需补充复核后再纳入。
s_social_insurance,社会保险覆盖,no,revise_keywords,keyword_false_positive,社会保险|五险一金|社保覆盖|住房公积金,社会保险覆盖|五险一金覆盖|社保缴纳|住房公积金缴纳|员工保障制度,增加覆盖和缴纳限定，避免泛化福利段落误命中。；本轮未进入 formal_v2，需补充复核后再纳入。
s_safety_training,安全培训,no,revise_keywords,keyword_false_positive,安全培训|安全教育|应急演练|安全生产培训,安全培训次数|安全培训人次|安全教育培训|应急演练次数|安全生产培训小时,增加次数、人次、小时等定量限定。；本轮未进入 formal_v2，需补充复核后再纳入。
g_intellectual_property_protection,知识产权保护机制,no,revise_keywords,context_insufficient,知识产权保护|知识产权管理|专利保护|商标保护,知识产权保护机制|知识产权管理制度|专利保护制度|商标保护制度,增加机制和制度限定，改善上下文不足问题。；本轮未进入 formal_v2，需补充复核后再纳入。
