report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,qualitative_text,evidence_quote,page_no,block_id,block_type,llm_confidence,llm_reason,source_candidate_count,elapsed_seconds,postprocess_repaired,quantitative_incomplete,repair_method,repair_reason,raw_response,review_label,review_notes,manual_label,manual_notes
600779_水井坊_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100%,%,,2025 年，公司通过专项机制确保所有被正式受理的客户投诉实现 100% 的闭环处理。,32,600779_水井坊_2025_ESG报告:p32:b8,paragraph,0.0000,明确提及100%闭环处理,2,0.807,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600783_鲁信创投_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,0,件,,报告期内公司未收到客户投诉事件,38,600783_鲁信创投_2025_ESG报告:p38:b21,paragraph,0.0000,明确提及未收到投诉,5,0.788,true,false,zero_event_normalization,normalized zero-event count from evidence_quote,,,,,
688051_佳华科技_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,found,0,起,,全年无应急事故、工伤事故，无重伤和死亡事故,36,688051_佳华科技_2025_ESG报告:p36:b6,paragraph,0.0000,明确提及无工伤事故,3,0.723,true,false,zero_event_normalization,normalized zero-event count from evidence_quote,,,,,
600278_东方创业_2025_ESG报告,e_waste_recycling,废弃物回收利用量,E,quantitative,found,100%,%,,包装废弃物回收率达 100%。,28,600278_东方创业_2025_ESG报告:p28:b18,paragraph,0.0000,明确数值,2,0.663,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688818_电科蓝天_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,found,10%,%,,报告期内，公司持续跟踪单位产值用电量，2025 年较 2024 年下降约10%，能源使用效率稳步提升。,20,688818_电科蓝天_2025_ESG报告:p20:b9,paragraph,0.0000,明确数值10%,1,0.778,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
300376_易事特_2025_可持续发展报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,4,次,,股东会4次，未发生因信息披露违规受到处罚的情形。,5,300376_易事特_2025_可持续发展报告:p5:b79,paragraph,0.0000,明确提及股东会次数,5,0.879,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
301599_理奇智能_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,3/8,比例,,独立董事占比 3/8,7,301599_理奇智能_2025_ESG报告:p7:b1,paragraph,0.0000,明确提及比例,5,0.772,true,false,ratio_unit_from_indicator_context,filled ratio unit for fraction value supported by evidence_quote,,,,,
600261_阳光照明_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,,公司现有董事会成员 9 名，其中独立董事 3 名。,12,600261_阳光照明_2025_ESG报告:p12:b16,paragraph,0.0000,明确提及董事会人数,1,0.677,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600406_国电南瑞_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,11,次,,召开董事会会议 11次，审议议案68项,16,600406_国电南瑞_2025_ESG报告:p16:b5,list,0.0000,明确提及董事会会议次数,2,0.731,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600406_国电南瑞_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,4/10,比例,,非独立董事6名，独立董事4 名，其中女性董事1 名,16,600406_国电南瑞_2025_ESG报告:p16:b27,paragraph,0.0000,明确给出独立董事人数,4,0.771,true,false,ratio_unit_from_indicator_context,filled ratio unit for fraction value supported by evidence_quote,,,,,
600406_国电南瑞_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,,召开股东会3次，审议议案20项,16,600406_国电南瑞_2025_ESG报告:p16:b5,list,0.0000,明确提及股东会次数,5,0.818,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600456_宝钛股份_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,12,次,,"召开董事会会议12次,审议议案52项",5,600456_宝钛股份_2025_ESG报告:p5:b36,paragraph,0.0000,明确提及12次,2,0.698,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600456_宝钛股份_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,5,次,,"召开股东大会5次,审议议案26项",5,600456_宝钛股份_2025_ESG报告:p5:b35,paragraph,0.0000,明确提及5次,5,0.767,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600475_华光环能_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,,公司董事会由 9 名董事组成，其中女性董事 3 名，女性董事占比 33.33%。,23,600475_华光环能_2025_ESG报告:p23:b18,list,0.0000,明确提及董事会人数,1,0.763,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600516_方大炭素_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,11,次,,董事会会议11次，审议议案37项,7,600516_方大炭素_2025_ESG报告:p7:b3,paragraph,0.0000,明确提及董事会会议次数,1,0.699,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600630_龙头股份_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,,完成新一届董事换届选举，新一届董事会由 9 名成员组成,18,600630_龙头股份_2025_ESG报告:p18:b1,paragraph,0.0000,明确提及董事会成员数量,2,0.700,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600651_飞乐音响_2025_可持续发展报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,,2025年，共召开2次业绩说明会、3次股东会。,17,600651_飞乐音响_2025_可持续发展报告:p17:b17,paragraph,0.0000,明确提及股东会次数,4,0.788,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600684_珠江股份_2025_ESG暨社会责任报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,,年内召开3次股东会包括：1次年度会议2次临时会议,39,600684_珠江股份_2025_ESG暨社会责任报告:p39:b17,paragraph,0.0000,明确提及次数,5,0.775,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600713_南京医药_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,14,次,,公司召开董事会会议 14次， 董事会成员出席率 100%,13,600713_南京医药_2025_ESG报告:p13:b11,paragraph,0.0000,明确提及14次董事会会议,2,0.746,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600779_水井坊_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,,2025年，公司共召开3次股东大会和3次业绩说明会,15,600779_水井坊_2025_ESG报告:p15:b30,paragraph,0.0000,明确提及3次股东大会,5,0.790,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600783_鲁信创投_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,11,次,,报告期内，公司共召开董事会会议11次，董事会成员出席率100%，共审议通过议案44项。,16,600783_鲁信创投_2025_ESG报告:p16:b3,paragraph,0.0000,明确提及会议次数,2,0.737,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600805_悦达投资_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,2,次,,2025年 | 公司共召开股东会 | 审议议案 2次 | 12项,26,600805_悦达投资_2025_ESG报告:p26:b6,table,0.0000,明确提及股东会召开次数,5,0.759,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600846_同济科技_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,found,9,名,,公司董事会成员共9名，其中外部董事7名，独立董事3名，公司董事会成员结构合理经验丰富，具备多元的专业背景，涵盖企业管理、财税、法律等专业，符合法律法规和上市公司监管要求。,15,600846_同济科技_2025_ESG报告:p15:b25,paragraph,0.0000,明确提及董事会成员总数,1,0.793,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600846_同济科技_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,,公司董事会成员共9名，其中外部董事7名，独立董事3名，公司董事会成员结构合理经验丰富，具备多元的专业背景，涵盖企业管理、财税、法律等专业，符合法律法规和上市公司监管要求。,15,600846_同济科技_2025_ESG报告:p15:b25,paragraph,0.0000,明确提及董事会人数为9名,1,0.823,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600850_电科数字_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,人,,董事会成员共9人，其中独立董事3人，占比33.33%。,9,600850_电科数字_2025_ESG报告:p9:b25,paragraph,0.0000,明确提及董事会人数9人,2,0.719,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600855_航天长峰_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,10,次,,公司组织召开董事会10次、监事会3次、股东会5次；组织召开董事会各专门委员会 10 次，独立董事专门会议 2 次；,31,600855_航天长峰_2025_ESG报告:p31:b18,paragraph,0.0000,明确提及董事会会议次数,3,0.800,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600874_创业环保_2025_可持续发展报告,g_board_meetings,董事会会议次数,G,quantitative,found,25,次,,召开董事会 25 次，董事出席率 100%,6,600874_创业环保_2025_可持续发展报告:p6:b3,list,0.0000,明确提及董事会会议次数,2,0.759,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600874_创业环保_2025_可持续发展报告,g_board_size,董事会人数,G,quantitative,found,9,名,,董事会由9 名董事组成，其中女性董事占比 22.22%,13,600874_创业环保_2025_可持续发展报告:p13:b1,list,0.0000,明确提及董事会人数,3,0.795,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600874_创业环保_2025_可持续发展报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,4,次,,股东会 4 次，审议议案 21项,13,600874_创业环保_2025_可持续发展报告:p13:b1,list,0.0000,明确提及股东会次数,5,0.820,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600877_电科芯片_2025_ESG暨社会责任报告,g_board_size,董事会人数,G,quantitative,found,9,名,,由9名具有不同行业与学术背景的董事组成,6,600877_电科芯片_2025_ESG暨社会责任报告:p6:b11,paragraph,0.0000,明确提及9名董事,1,0.676,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600919_江苏银行_2025_可持续发展报告,g_board_meetings,董事会会议次数,G,quantitative,found,10,次,,全年召开董事会会议10次，审议通过本行《2026-2030年发展战略规划》《ESG暨社会责任报告》《绿色金融发展报告》《负责任银行原则自评估报告》《全面风险管理报告》《关联交易报告》《数据安全管理办法》等涉及重要ESG领域的议案，审阅《风险偏好执行情况评估报告》《反洗钱和反恐怖融资工作情况报告》等报告，切实履行董事会在ESG发展规划、绿色金融、普惠金融、消费者金融保护、社会责任履行等方面的职责。,60,600919_江苏银行_2025_可持续发展报告:p60:b5,paragraph,0.0000,明确提及10次,2,1.033,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600919_江苏银行_2025_可持续发展报告,g_board_size,董事会人数,G,quantitative,found,15,名,,截至2025年末，本行董事会共有董事15名，其中执行董事4名、独立非执行董事5名、非独立非执行董事6名。,59,600919_江苏银行_2025_可持续发展报告:p59:b15,paragraph,0.0000,明确提及董事会人数15名,3,0.831,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600963_岳阳林纸_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,found,57%,人,,报告期末，公司董事会共有董事7人，其中女性董事4人，占比 57%，体现了董事会成员的性别多元化,51,600963_岳阳林纸_2025_ESG报告:p51:b3,paragraph,0.0000,明确数值57%,3,0.767,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600963_岳阳林纸_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,12,次,,2025年公司召开董事会会议12次(包括4次定期会议、8次临时会议)。,50,600963_岳阳林纸_2025_ESG报告:p50:b12,paragraph,0.0000,明确提及12次,4,0.819,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600963_岳阳林纸_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,7,人,,报告期末，公司董事会共有董事7人，其中女性董事4人，占比 57%，体现了董事会成员的性别多元化；同时，董事会成员涵盖了不同年龄段和工作经验的成员，有助干在决策中获得多元化的经验和意见。,51,600963_岳阳林纸_2025_ESG报告:p51:b3,paragraph,0.0000,明确提及董事会人数7人,2,0.829,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
600996_贵广网络_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,7,次,,2025年，公司共组织召开3次股东会、7次董事会、15次董事会专门委员会、4次独立董事专门会议。,10,600996_贵广网络_2025_ESG报告:p10:b1,paragraph,0.0000,明确提及董事会会议次数,1,0.764,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
601975_招商南油_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,4,次,,股东会 | 4次 | 16项,13,601975_招商南油_2025_ESG报告:p13:b6,table,0.0000,明确提及股东会召开4次,5,0.761,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
603051_鹿山新材_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,8,次,,共召开董事会8次，提交董事会审议议案共计59项,63,603051_鹿山新材_2025_ESG报告:p63:b1,paragraph,0.0000,明确提及董事会会议次数,1,0.710,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
603051_鹿山新材_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,5,名,,姓名 | 性别 | 年龄 | 职务 | 专业领域/背景 | 服务任期 汪加胜 | 男 | 55 | 董事长、总经理 | 行业专家/战略管理 | 10年以上 杜壮 | 男 | 40 | 董事 | 项目/研发管理 | 5年以下 唐小军 | 男 | 48 | 职工董事、副总经理、董事会秘书 | 投融资管理 | 5年以下 容敏智 | 男 | 65 | 独立董事 | 行业专家/教授 | 5年以下 吴小满 | 男 | 49 | 独立董事 | 会计/财务管理 | 5年以下,64,603051_鹿山新材_2025_ESG报告:p64:b2,table,0.0000,明确列出5名董事,1,1.195,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
603051_鹿山新材_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,1,次,,2025年，公司共召开股东大会1次，提交股东大会审议议案共计17项；董事会8次，提交董事会审议议案共计59项；监事会4次，提交监事会审议议案共计17项。,10,603051_鹿山新材_2025_ESG报告:p10:b22,paragraph,0.0000,明确提及股东大会次数,4,0.879,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
603329_上海雅仕_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,人,,公司董事会成员人数 | 按性别包含男性董事 | 女性董事 | 按类型包含独立董事 | 非独立董事 9人 | 8位 | 1人 | 3人 | 6人,21,603329_上海雅仕_2025_ESG报告:p21:b7,table,0.0000,明确提及董事会人数为9人,1,0.826,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
603333_尚纬股份_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,8,次,,召开董事会会议8次,57,603333_尚纬股份_2025_ESG报告:p57:b6,table,0.0000,明确提及董事会会议次数,1,0.679,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
603333_尚纬股份_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,,董事9名 | 其中独立董事3名占比33.33% 其中非独立董事6名占比66.67% | 其中女性董事5名占比55.56% 召开股东会会议3次 | 召开董事会会议8次,57,603333_尚纬股份_2025_ESG报告:p57:b6,table,0.0000,明确提及董事会人数为9名,1,0.867,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
603368_柳药集团_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,,报告期内召开股东大会 | 通过议案 | 对中小投资者单独计票 3次 | 31 | 12 关键绩效,17,603368_柳药集团_2025_ESG报告:p17:b8,table,0.0000,明确提及3次,5,0.782,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
603399_永杉锂业_2025_可持续发展报告,g_board_size,董事会人数,G,quantitative,found,7,名,,截止本报告期末，公司董事会设董事7名，其中非执行董事7名。,13,603399_永杉锂业_2025_可持续发展报告:p13:b7,paragraph,0.0000,明确提及董事会人数,2,0.725,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
603979_金诚信_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,12,次,,报告期内，公司共召开12次董事会会议，董事会成员出席率100%。,22,603979_金诚信_2025_ESG报告:p22:b8,paragraph,0.0000,明确提及12次董事会会议,1,0.756,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
605399_晨光新材_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,3,次,,公司共召开董事会会议3次，审议通过议案39项，董事会出席率100%；召开各专门委员会会议7次，审议通过议案20项。,14,605399_晨光新材_2025_ESG报告:p14:b5,paragraph,0.0000,明确提及会议次数,2,0.730,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
605399_晨光新材_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,7,名,,董事会现由7名董事组成，其中包括1名职工代表董事，该董事由公司职工代表大会通过民主选举程序产生。,15,605399_晨光新材_2025_ESG报告:p15:b7,paragraph,0.0000,明确提及董事会人数为7,1,0.705,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
605399_晨光新材_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,,公司共召开股东会会议3次，其中临时股东会2次，年度股东会1次，审议通过议案14项。,14,605399_晨光新材_2025_ESG报告:p14:b4,paragraph,0.0000,明确提及股东会会议次数,5,0.844,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
605488_福莱新材_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,17,次,,2025年，公司共召开董事会会议17次，董事出席率达100%。,82,605488_福莱新材_2025_ESG报告:p82:b1,paragraph,0.0000,明确提及会议次数,1,0.719,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
605488_福莱新材_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,8,名,,目前，8名董事会成员中女性董事1名，董事会成员具备工商管理、高分子材料、会计学、法学等不同领域文化背景，并且多数具备硕士及以上学位，基本履行职务所需知识、专业技能与经验，结构合理。,82,605488_福莱新材_2025_ESG报告:p82:b5,paragraph,0.0000,明确提及8名董事会成员,2,0.831,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688015_交控科技_2025_ESG暨社会责任报告,g_board_meetings,董事会会议次数,G,quantitative,found,5,次,,召开董事会5次,9,688015_交控科技_2025_ESG暨社会责任报告:p9:b22,paragraph,0.0000,明确提及董事会会议次数,2,0.689,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688015_交控科技_2025_ESG暨社会责任报告,g_board_size,董事会人数,G,quantitative,found,12,人,,董事会成员人数由11人调整为12人，新增职工董事1人,9,688015_交控科技_2025_ESG暨社会责任报告:p9:b29,paragraph,0.0000,明确数值12,2,0.719,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688015_交控科技_2025_ESG暨社会责任报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,,召开股东大会3次,9,688015_交控科技_2025_ESG暨社会责任报告:p9:b17,paragraph,0.0000,明确提及3次,5,0.749,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688051_佳华科技_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,6,次,,2025 年，董事会召开次数 6 次，董事会成员出席率 100%，审议并通过议案个数 54 项。,45,688051_佳华科技_2025_ESG报告:p45:b5,paragraph,0.0000,明确提及董事会召开次数6次,2,0.783,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688051_佳华科技_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,,董事会共 9 名董事，其中女性董事 4 名，占比 4/9；独立董事 3 名，占比 1/3；职工代表董事 1 名，占比 1/9。,45,688051_佳华科技_2025_ESG报告:p45:b6,paragraph,0.0000,明确提及董事会人数为9,3,0.822,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688051_佳华科技_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,1/3,比例,,董事会共 9 名董事，其中女性董事 4 名，占比 4/9；独立董事 3 名，占比 1/3；职工代表董事 1 名，占比 1/9。,45,688051_佳华科技_2025_ESG报告:p45:b6,paragraph,0.0000,明确提及独立董事占比1/3,5,0.912,true,false,ratio_unit_from_indicator_context,filled ratio unit for fraction value supported by evidence_quote,,,,,
688218_江苏北人_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,,报告期内，公司严格依规召开并记录法定会议：召开1次年度股东会，2次临时股东会、董事会6次，会议材料准备充分、程序合规、决议有效；全年实现信息披露合规与内控治理合规。,9,688218_江苏北人_2025_ESG报告:p9:b6,paragraph,0.0000,明确提及年度股东会1次，临时股东会2次,2,0.844,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688226_威腾电气_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,3,名,,报告期内，公司董事会包含 3 名独立董事。,55,688226_威腾电气_2025_ESG报告:p55:b1,paragraph,0.0000,明确提及独立董事数量,4,0.790,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688226_威腾电气_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,5,次,,公司股东会召开 5 <sub>次；共审议、听取议案</sub> 37 <sub>项。</sub>,54,688226_威腾电气_2025_ESG报告:p54:b6,paragraph,0.0000,明确提及股东会召开次数,3,0.771,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
688261_东微半导_2026_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,,股东会召开次数（次 <sub>）</sub>3 <sub>董事会召开次数（次）</sub>12,5,688261_东微半导_2026_ESG报告:p5:b11,paragraph,0.0000,明确数值,5,0.807,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,,,,,
