report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,qualitative_text,evidence_quote,page_no,block_id,block_type,llm_confidence,llm_reason,source_candidate_count,elapsed_seconds,postprocess_repaired,quantitative_incomplete,repair_method,repair_reason,raw_response
000016_深康佳Ａ_2025_ESG报告,e_hazardous_waste,危险废弃物产生量,E,quantitative,found,"3,851",吨,,"危险废弃物产生量 | 3,851吨",18,000016_深康佳Ａ_2025_ESG报告:p18:b18,table,0.9500,明确数值匹配,5,0.839,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_nonhazardous_waste,一般废弃物产生量,E,quantitative,found,"18,725.42",吨,,"一般废弃物产生量 | 18,725.42吨",18,000016_深康佳Ａ_2025_ESG报告:p18:b18,table,0.0000,明确数值,2,0.718,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_waste_recycling,废弃物回收利用量,E,quantitative,missing,,,,,,,,0.0000,,1,0.567,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_air_pollutants,大气污染物排放,E,quantitative,found,0.49,吨,,二氧化硫排放量 | 0.49吨 | ↓48.45%,18,000016_深康佳Ａ_2025_ESG报告:p18:b2,table,0.0000,明确数值,3,0.769,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_nox,氮氧化物排放量,E,quantitative,found,32.57,吨,,氮氧化物排放量 | 32.57吨 | ↓3.21%,18,000016_深康佳Ａ_2025_ESG报告:p18:b2,table,0.9500,明确数值,3,0.808,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_voc,挥发性有机物排放量,E,quantitative,found,13.64,吨,,挥发性有机物排放量 | 13.64吨 | ↓12.44%,18,000016_深康佳Ａ_2025_ESG报告:p18:b2,table,0.0000,明确数值匹配,1,0.753,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_particulate,颗粒物排放量,E,quantitative,missing,,,,,,,,0.0000,,1,0.528,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_environmental_penalty,环境处罚,E,boolean,found,true,,公司及下属单位未发生环境违法违规及重大环境事件,未发生环境违法违规及重大环境事件,15,000016_深康佳Ａ_2025_ESG报告:p15:b5,paragraph,0.0000,明确提及未发生环境违法违规事件,1,0.718,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_biodiversity,生物多样性保护,E,boolean,found,true,,报告中明确提及'生态系统和生物多样性保护'作为重要议题，并在ESG议题重要性说明中列为一般重要性议题，同时在深交所指引议题中对应第三十二条，明确将'生态系统和生物多样性保护'纳入报告章节。,生态系统和生物多样性保护 | 第三十二条 | 生态友好运营,45,000016_深康佳Ａ_2025_ESG报告:p45:b1,table,0.0000,明确提及议题,5,0.932,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,found,,,多款核心产品通过绿色产品认证，推动绿色产品认证工作，将绿色低碳理念融入产品设计开发、生产制造、回收利用等环节。,"多款核心产品通过绿色产品认证，推动绿色产品认证工作，将绿色低碳理念融入产品的设计开发、生产制造、回收利用等环节,推动绿色产品认证工作。",4,000016_深康佳Ａ_2025_ESG报告:p4:b5,paragraph,0.0000,明确提及绿色产品认证,4,0.923,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_green_office,绿色办公,E,boolean,found,true,,公司倡导绿色办公理念，推行电子化办公，开展环保培训及宣教活动,康佳积极倡导绿色办公理念，对废纸、塑料、金属等可回收物品进行分类收集，并推行电子化办公，减少纸质文件的使用。积极组织开展全国生态日六五环境日全国节能宣传周 全国低碳日等宣教活动倡导文明 节约 绿色低碳的生产生活方式。,21,000016_深康佳Ａ_2025_ESG报告:p21:b2,paragraph,0.0000,明确披露绿色办公机制,2,0.958,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_employee_total,员工总数,S,quantitative,found,12053,人,,"员工总人数 | 人 | 14,106 | 13,358 | 12,053",44,000016_深康佳Ａ_2025_ESG报告:p44:b0,table,0.0000,明确数值,2,0.797,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,missing,,,,,,,,0.0000,,2,0.583,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_compensation_benefits,薪酬福利,S,qualitative,found,,,公司制定多项制度保障薪酬福利公平性，提供社会保险、住房公积金、补充医疗保险等全面保障，落实带薪休假及多样化福利，体现以人为本理念。,康佳制定《薪酬福利管理办法》《员工绩效管理办法》《休假管理办法》等制度坚持同工同酬不因性别，信仰等因素影响员工薪资；为员工提供社会保险、住房公积金、补充医疗保险等保障，定期组织员工健康体检；落实带薪休假制度，提供工作餐、过节费、防暑降温津贴等福利，充分彰显公司以人为本的理念。,36,000016_深康佳Ａ_2025_ESG报告:p36:b2,paragraph,0.0000,直接引用制度与福利内容,2,1.002,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_employee_rights,员工权益保障,S,qualitative,found,,,报告中明确提及员工权益与福利作为重要ESG议题，并在章节中专门列出'保障员工权益'相关内容。,员工权益与福利,41,000016_深康佳Ａ_2025_ESG报告:p41:b19,table,0.0000,明确提及员工权益与福利,5,0.886,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,missing,,,,,,,,0.0000,,2,0.638,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_occupational_health,职业健康,S,qualitative,found,,,康佳制定职业健康管理、劳动防护用品管理等制度，定期开展职业危害因素监测与现状评价，配备防尘防毒等劳保用品，组织职业病防治宣传教育及健康体检。,康佳严格遵守《中华人民共和国职业病防治法》《作业场所职业健康监督管理暂行规定》等相关法律法规，制定职业健康管理、劳动防护用品管理、安全警示标志和安全防护设施管理等制度，积极保障员工的职业健康。每年委托专业机构开展职业危害因素监测与现状评价，结果向从业人员公开，并针对检测出的职业危害因素，依规为劳动者配备防尘、防毒口罩，防护手套等劳保用品，定期进行校验维护，确保防护用品可以正常使用。积极组织职业病防治宣传教育，设立《中华人民共和国职业病防治法》宣传周，通过张贴海报、发放学习资料、观看宣传视频等多种形式普及职业健康知识；定期组织员工开展健康体检，并根据员工体检情况，持续进行项目优化，确保员工健康生产。,39,000016_深康佳Ａ_2025_ESG报告:p39:b9,paragraph,0.0000,明确披露制度与措施,5,1.412,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_safety,安全生产,S,qualitative,found,,,公司每年委托专业机构开展职业危害因素监测与现状评价，依规为劳动者配备防护用品，规范设置安全警示标识，组织职业病防治宣传教育，定期开展健康体检，确保员工健康生产。,每年委托专业机构开展职业危害因素监测与现状评价，结果向从业人员公开，并针对检测出的职业危害因素，依规为劳动者配备防尘、防毒口罩，防护手套等劳保用品，定期进行校验维护，确保防护用品可以正常使用。 严格按照国家安全生产及职业健康相关规范标准，在各相关生产作业场所规范设置安全警示标识牌和安全警示标志，并建立长效管理机制，加强公司安全标志、安全防护设施的设置和维护管理工作。 积极组织职业病防治宣传教育，设立《中华人民共和国职业病防治法》宣传周，通过张贴海报、发放学习资料、观看宣传视频等多种形式普及职业健康知识；定期组织员工开展健康体检，并根据员工体检情况，持续进行项目优化，确保员工健康生产。,39,000016_深康佳Ａ_2025_ESG报告:p39:b14,list,0.0000,直接引用安全生产措施,5,1.436,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,missing,,,,,,,,0.0000,,0,0.001,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_product_quality,产品质量管理,S,qualitative,found,,,康佳严格遵循产品质量法规，建立预防为主的质量管理体系，通过赋能和监督促进质量管理从事后解决向事前预防转变。,康佳严格遵循《中华人民共和国产品质量法》《工业产品生产单位落实质量安全主体责任监督管理规定》等法律法规，贯彻落实专业化融合要求，将提高产品和服务质量作为产品业务发展主攻方向。公司按照“总部抓总、业务单元抓专、基层单位抓实”的质量管理整体工作思路，推进“以预防为主”的质量管理体系建设，围绕达成年度质量目标，通过赋能和加强监督，促进质量管理从事后解决问题向事前预防转变。,25,000016_深康佳Ａ_2025_ESG报告:p25:b17,paragraph,0.9500,明确披露质量管理体系,5,1.240,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_customer_satisfaction,客户满意度,S,quantitative,found,98.92,%,,2025年，客户投诉解决率98%，客户满意度98.92%。,29,000016_深康佳Ａ_2025_ESG报告:p29:b1,paragraph,0.9500,明确数值匹配,5,0.953,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,missing,,,,,,,,0.9500,明确数值 conservative_missing,4,0.901,false,false,conservative_missing,"customer complaint evidence is a rate/process metric, not complaint count",
000016_深康佳Ａ_2025_ESG报告,s_data_security,数据安全与隐私保护,S,boolean,found,true,,康佳落实《数据安全管理细则》要求，制定《康佳集团股份有限公司网络安全管理办法》，部署技术防护措施并开展全员数据安全培训，报告期内未发生数据安全事件。,康佳落实《数据安全管理细则》要求，制定《康佳集团股份有限公司网络安全管理办法》对核心系统实行最小权限访问控制 部署防火墙 DDoS防护及日志监控 通过严禁非授权数据外传 定期开展系统补工更新等举措 织密技术防护网络；常态化开展全员数据安全专项培训，强化员工隐私保护责任意识。报告期内，公司未发生任何经确认的数据安全事件，未出现因系统漏洞、内部人员违规或外部网络攻击导致的数据泄露、丢失、篡改或非法访问等情况。,28,000016_深康佳Ａ_2025_ESG报告:p28:b12,paragraph,0.0000,明确披露数据安全措施及事件记录,5,1.311,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_research_development,研发投入,S,quantitative,missing,,,,,,,,0.0000,,0,0.001,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_patents,专利数量,S,quantitative,found,"1,100",项,,"全年新增有效授权发明专利 1,100 项、软件著作权 556 项，技术创新成果持续涌现。",4,000016_深康佳Ａ_2025_ESG报告:p4:b4,paragraph,0.9500,明确提及新增专利数,5,0.927,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_supplier,供应商管理,S,boolean,found,true,,康佳通过SRM系统实施供应商管理，建立统一管理标准和规范，以诚实守信为原则建立合作共赢关系。,康佳利用信息化手段，通过采购业务运营平台（SRM）对适用范围内的供应商实施统一管理，制定相应管理标准和规范，以诚实、守信、开放为原则，建立合作共赢的采购供应关系,30,000016_深康佳Ａ_2025_ESG报告:p30:b6,paragraph,0.0000,明确提及SRM系统管理供应商,5,1.007,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_community_investment,公益慈善投入,S,quantitative,missing,,,,,,,,0.0000,,1,0.570,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_volunteer_hours,志愿服务时长,S,quantitative,missing,,,,,,,,0.0000,,3,0.583,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_rural_revitalization,乡村振兴,S,qualitative,found,,,公司通过公益行动和生态保护参与乡村振兴，包括资金投入和具体项目实施。,社区及公众 | ·乡村振兴·社会发展·生态保护 | ·交流采访·公益行动·生态保护,40,000016_深康佳Ａ_2025_ESG报告:p40:b12,table,0.9500,直接提及乡村振兴,5,0.945,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,found,true,,康佳制定多项管理制度规范员工招聘与管理，杜绝性别、年龄、民族歧视及童工、强迫劳动，保障员工休息休假权利。,康佳制定《员工招聘管理制度》《员工入离职管理规定（2023版）》等管理文件，规范人才选拔流程与后续管理环节，严格审查候选人年龄等信息，不因性别、年龄、民族等而区别对待，坚决杜绝雇用童工，禁止强迫劳动，实行标准工时制，全面落实各类休假制度，充分保障员工的休息休假权利。,35,000016_深康佳Ａ_2025_ESG报告:p35:b3,paragraph,0.0000,明确披露制度与措施,1,1.047,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,7,人,,董事会成员人数 | 人 | 7 | 7 | 9,42,000016_深康佳Ａ_2025_ESG报告:p42:b2,table,0.0000,明确数值,1,0.734,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,missing,,,,,,,,0.0000,,1,0.524,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,missing,,,,,,,,0.0000,,1,0.553,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,18,次,,董事会会议召开次数 | 次 | 15 | 18 | 20,42,000016_深康佳Ａ_2025_ESG报告:p42:b2,table,0.9500,明确数值匹配,1,0.751,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,8,次,,2025 年，公司组织召开8次股东会、审议25项议案；召开17次专门委员会会议，10次独立董事专门会议；召开20次董事会，共审议84项议题。,9,000016_深康佳Ａ_2025_ESG报告:p9:b10,paragraph,0.9500,明确提及2025年股东会次数,3,0.928,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,构建了决策、管理与执行三层次的可持续发展治理架构，将ESG融入企业运营全流程,康佳将可持续发展理念深度融入企业运营全流程，构建起决策、管理与执行三层次的可持续发展治理架构,40,000016_深康佳Ａ_2025_ESG报告:p40:b3,paragraph,0.0000,明确披露治理架构,2,0.845,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_esg_strategy,ESG 战略目标,G,qualitative,missing,,,,,,,,0.0000,,1,0.524,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_stakeholder_communication,利益相关方沟通,G,qualitative,found,,,康佳面向各利益相关方开展双重重要性议题调研，从‘影响重要性’和‘财务重要性’两个维度开展重要性议题识别与评估工作，最终确定2025年度ESG实质性议题29项，形成实质性议题矩阵，并在本报告中进行重点披露和回应。,康佳面向各利益相关方开展双重重要性议题调研，从“影响重要性”（对经济、环境、社会可持续性影响的重要程度）和“财务重要性”（对公司财务影响的重要程度）两个维度开展重要性议题识别与评估工作，最终确定 2025 年度 ESG 实质性议题29项，形成实质性议题矩阵，并在本报告中进行重点披露和回应。,41,000016_深康佳Ａ_2025_ESG报告:p41:b2,paragraph,0.9500,明确提及利益相关方沟通机制,5,1.185,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_anti_corruption,反腐败机制,G,boolean,found,true,,公司修订多项制度并开展廉政教育，强化反腐败机制,康佳修订《康佳集团股份有限公司党委关于加强对“一把手”和领导班子监督的实施办法》《康佳集团股份有限公司新任职直管干部任职谈话和廉政谈话管理办法》等 6项制度，以制度约束权力；落实常态化学习机制，召开 2025 年第二次警示教育大会暨新任职干部集体廉政谈话会，开展对习近平总书记关于全面从严治党、党风廉政建设和反腐败斗争重要论述的学习10次，持续强化以学促廉，营造严的氛围，筑牢思想防线，保持清正廉洁的政治本色。,11,000016_深康佳Ａ_2025_ESG报告:p11:b22,paragraph,0.9500,明确提及反腐败斗争,5,1.194,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_anti_corruption_training,反腐败培训,G,quantitative,missing,,,,,,,,0.0000,,2,0.623,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_compliance_management,合规管理,G,boolean,found,true,,公司设置合规委员会、首席合规官，构建合规管理'三道防线'，建立多项合规机制。,设置合规委员会、首席合规官，在各层级配置合规管理员；系统构建合规管理'三道防线'，配套建立合规风险识别预警机制、法律合规审查机制、合规报告机制、举报受理及追究机制、合规考核机制等，推动各层级企业协同联动、上下贯通，形成齐抓共管的合规管理工作格局。,9,000016_深康佳Ａ_2025_ESG报告:p9:b16,paragraph,0.0000,明确披露合规机制,5,1.081,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_risk_management,风险管理体系,G,boolean,found,true,,康佳推进风险管理体系建设，建立健全内部定期风险监测分析机制、重大经营风险预测评估机制、重大经营风险事件报告机制，按季度开展风险梳理监测分析，按年度组织重大经营风险预测梳理评估。,康佳推进风险管理体系建设，坚持以党委为领导核心，由公司董事会、经营管理层依规推动和组织落实风险管理各项工作，建立健全内部定期风险监测分析机制、重大经营风险预测评估机制、重大经营风险事件报告机制。公司按季度开展风险梳理监测分析，加强风险指标分析和变化趋势研判，并注重防范控制重大经营风险；按年度组织各部室、业务单元、直属机构开展重大经营风险预测梳理评估，编制形成公司整体重大经营风险防控清单，针对性制定并落地专项应对措施，全力保障企业可持续稳健发展。,10,000016_深康佳Ａ_2025_ESG报告:p10:b11,paragraph,0.0000,明确披露风险管理体系,5,1.225,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,公司通过签署商业道德书、开展合规培训等方式强化商业道德建设。,廉政从业等有关商业道德书签署率 | % | 23.70 | 22.97 | 100,42,000016_深康佳Ａ_2025_ESG报告:p42:b3,table,0.9500,明确披露商业道德书签署率,2,0.918,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_tax_transparency,税务透明,G,qualitative,missing,,,,,,,,0.0000,,2,0.642,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_information_disclosure,信息披露,G,qualitative,found,,,公司依据相关法律法规制定并实施了投资者关系管理制度和信息披露管理制度，明确信息披露流程与责任，确保信息及时、准确、完整披露。,康佳依据《中华人民共和国证券法》《上市公司与投资者关系管理工作指引》及其他相关规定，制定了《康佳集团股份有限公司投资者关系管理制度》严格规范公司与投资者之间的沟通与交流 增强投资者对公司价值的认同与支持 从而实现公司价值最大化。康佳严格遵守《中华人民共和国公司法》《上市公司信息披露管理办法》等法律法规，制定《康佳集团股份有限公司信息披露管理制度》，积极履行公司信息披露义务。公司董事会秘书负责信息披露工作，确保公司信息披露及时、真实、准确、完整，不断提高公司信息披露质量，切实保护投资者合法权益。,11,000016_深康佳Ａ_2025_ESG报告:p11:b3,paragraph,0.9500,明确披露制度及执行,5,1.192,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_investor_relations,投资者关系,G,qualitative,found,,,公司制定《投资者关系管理制度》，规范与投资者沟通，有序接待调研，精准解答咨询，及时披露信息，维护股东权益。,完善制度管理体系，守牢治理合规底线。我们系统梳理治理架构，完善《公司章程》等核心制度，搭建全维度合规管理体系，实现合规管理全层级、全流程覆盖。我们健全综合监督体系，持续开展内部巡察与内部审计，揭示各类风险隐患，为企业健康发展筑牢屏障。我们持续优化投资者关系管理，有序接待投资者调研，精准解答各类咨询，及时、准确、完整披露相关信息，切实维护全体股东和投资者的合法权益。,4,000016_深康佳Ａ_2025_ESG报告:p4:b3,paragraph,0.9500,制度明确提及优化投资者关系管理,5,1.088,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,found,,,康佳落实《数据安全管理细则》要求，制定《康佳集团股份有限公司网络安全管理办法》，对核心系统实行最小权限访问控制，部署防火墙、DDoS防护及日志监控，通过严禁非授权数据外传、定期开展系统补丁更新等举措织密技术防护网络；常态化开展全员数据安全专项培训，强化员工隐私保护责任意识。,康佳落实《数据安全管理细则》要求，制定《康佳集团股份有限公司网络安全管理办法》对核心系统实行最小权限访问控制 部署防火墙 DDoS防护及日志监控 通过严禁非授权数据外传 定期开展系统补工更新等举措 织密技术防护网络；常态化开展全员数据安全专项培训，强化员工隐私保护责任意识。,28,000016_深康佳Ａ_2025_ESG报告:p28:b12,paragraph,0.9500,证据明确披露网络安全治理措施,1,1.145,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_audit_committee,审计委员会,G,boolean,found,true,,审计委员会作为董事会下设机构，行使法定监事会职权，不设监事会或监事。,康佳根据新修订的《中华人民共和国公司法》相关规定，在董事会设置审计委员会行使法定监事会职权，不设监事会或者监事，并全面推进各级子公司监事会/监事撤销专项工作。,9,000016_深康佳Ａ_2025_ESG报告:p9:b3,paragraph,0.0000,明确提及审计委员会,2,0.855,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_party_building,党建工作,G,boolean,found,true,,康佳修订多项党委相关制度，强化党委领导作用，开展警示教育和廉政学习，落实全面从严治党。,康佳修订《康佳集团股份有限公司党委巡察工作规定》《康佳集团股份有限公司加强巡察整改和成果运用管理办法》等5项巡察相关制度 统筹推进全年巡察任务 针对洗碗机业务开展提级巡察 发现9方面20.个问题；扛牢主体责任，组织各部室和单位将巡视整改结合“四个重塑”重新谋划、共同推进，形成整改新台账，每月对整改情况开展监督，压实整改责任。,11,000016_深康佳Ａ_2025_ESG报告:p11:b19,paragraph,0.9500,明确提及党委相关制度修订,5,1.235,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_ghg_scope1,直接温室气体排放量,E,quantitative,found,"117,319.54",吨二氧化碳当量,,"温室气体排放总量 | 吨二氧化碳当量 | 117,319.54 | 113,126.46",15,000016_深康佳Ａ_2025_ESG报告:p15:b0,table,0.9500,明确数值匹配,2,0.883,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_ghg_scope2,间接温室气体排放量,E,quantitative,found,"117,319.54",吨二氧化碳当量,,"温室气体排放总量 | 吨二氧化碳当量 | 117,319.54 | 113,126.46",15,000016_深康佳Ａ_2025_ESG报告:p15:b0,table,0.9500,明确数值匹配,2,0.888,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_renewable_energy,可再生能源使用量,E,quantitative,missing,,,,,,,,0.0000,,2,0.623,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,s_training,员工培训,S,quantitative,found,8593,人,,"员工培训人数 | 人 | 8,840 | 8,593 | 8,547",44,000016_深康佳Ａ_2025_ESG报告:p44:b1,table,0.9500,明确数值匹配指标要求。,4,1.119,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,g_materiality_assessment,实质性议题评估,G,qualitative,found,,,康佳通过双重重要性议题调研，从影响重要性和财务重要性两个维度评估确定29项ESG实质性议题，并在报告中重点披露。,康佳面向各利益相关方开展双重重要性议题调研，从“影响重要性”（对经济、环境、社会可持续性影响的重要程度）和“财务重要性”（对公司财务影响的重要程度）两个维度开展重要性议题识别与评估工作，最终确定 2025 年度 ESG 实质性议题29项，形成实质性议题矩阵，并在本报告中进行重点披露和回应。,41,000016_深康佳Ａ_2025_ESG报告:p41:b2,paragraph,0.0000,明确披露评估方法与结果,2,1.107,false,false,none,,
000158_常山北明_2025_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,missing,,,,,,,,0.0000,,0,0.001,false,false,none,,
000158_常山北明_2025_ESG报告,e_ghg_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,,0.0000,,0,0.001,false,false,none,,
000158_常山北明_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,missing,,,,,,,,0.0000,,0,0.001,false,false,none,,
000158_常山北明_2025_ESG报告,e_climate_risk,气候风险管理,E,boolean,missing,,,,,,,,0.0000,,0,0.001,false,false,none,,
000158_常山北明_2025_ESG报告,e_energy_total,能源消耗总量,E,quantitative,missing,,,,,,,,0.0000,,0,0.001,false,false,none,,
000158_常山北明_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,found,"64,045",千瓦时,,"办公用电量 | 千瓦时 | - | 64,045 | 58,820",30,000158_常山北明_2025_ESG报告:p30:b0,table,0.9500,明确给出2024年数值,1,0.872,false,false,none,,
000158_常山北明_2025_ESG报告,e_fuel_consumption,燃料消耗量,E,quantitative,missing,,,,,,,,0.0000,,0,0.001,false,false,none,,
000158_常山北明_2025_ESG报告,e_water_total,总用水量,E,quantitative,found,247780,吨,,"总耗水量 | 吨 | 268,384 | 247,780 | 10,315",30,000158_常山北明_2025_ESG报告:p30:b0,table,0.0000,明确数值匹配,1,0.862,false,false,none,,
000158_常山北明_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,missing,,,,,,,,0.0000,,0,0.001,false,false,none,,
000158_常山北明_2025_ESG报告,e_ammonia_nitrogen,氨氮排放量,E,quantitative,missing,,,,,,,,0.0000,,0,0.000,false,false,none,,
