sample_order,task_id,dataset_version,report_id,indicator_id,indicator_name,dimension,indicator_type,stratum,pdf_path
31,ng1-e5b3f27b31d54a,natural-gold-v1,000810_创维数字_2025_ESG报告,g_business_ethics,商业道德,G,boolean,G/boolean,data/raw_pdfs/000810_创维数字_2025_ESG报告.pdf
32,ng1-1c8aed55c12e04,natural-gold-v1,000547_航天发展_2025_ESG报告,g_investor_relations,投资者关系,G,qualitative,G/qualitative,data/raw_pdfs/000547_航天发展_2025_ESG报告.pdf
33,ng1-d8feca7518ab70,natural-gold-v1,920039_国义招标_2025_ESG报告,s_research_development,研发投入,S,quantitative,S/quantitative,data/raw_pdfs/920039_国义招标_2025_ESG报告.pdf
34,ng1-9d23b92ab785a9,natural-gold-v1,600684_珠江股份_2025_ESG暨社会责任报告,s_research_development,研发投入,S,quantitative,S/quantitative,data/raw_pdfs/600684_珠江股份_2025_ESG暨社会责任报告.pdf
35,ng1-07d5e9d779de93,natural-gold-v1,001322_箭牌家居_2025_ESG报告,e_green_office,绿色办公,E,boolean,E/boolean,data/raw_pdfs/001322_箭牌家居_2025_ESG报告.pdf
36,ng1-e74a00c173fb99,natural-gold-v1,688728_格科微_2025_ESG报告,g_tax_transparency,税务透明,G,qualitative,G/qualitative,data/raw_pdfs/688728_格科微_2025_ESG报告.pdf
37,ng1-355daac51c15bf,natural-gold-v1,002692_远程股份_2026_ESG报告,g_audit_committee,审计委员会,G,boolean,G/boolean,data/raw_pdfs/002692_远程股份_2026_ESG报告.pdf
38,ng1-b9bb339ba44e4c,natural-gold-v1,603990_麦迪科技_2025_ESG报告,e_waste_recycling,废弃物回收利用量,E,quantitative,E/quantitative,data/raw_pdfs/603990_麦迪科技_2025_ESG报告.pdf
39,ng1-b89b2beec8f40c,natural-gold-v1,600779_水井坊_2025_ESG报告,g_anti_corruption_training,反腐败培训,G,quantitative,G/quantitative,data/raw_pdfs/600779_水井坊_2025_ESG报告.pdf
40,ng1-ede623569adf02,natural-gold-v1,000922_佳电股份_2026_ESG报告,g_materiality_assessment,实质性议题评估,G,qualitative,G/qualitative,data/raw_pdfs/000922_佳电股份_2026_ESG报告.pdf
41,ng1-08425e4200964c,natural-gold-v1,601298_青岛港_2025_ESG报告,s_employee_rights,员工权益保障,S,qualitative,S/qualitative,data/raw_pdfs/601298_青岛港_2025_ESG报告.pdf
42,ng1-8b82a5ee27d0da,natural-gold-v1,002887_绿茵生态_2025_ESG报告,e_fuel_consumption,燃料消耗量,E,quantitative,E/quantitative,data/raw_pdfs/002887_绿茵生态_2025_ESG报告.pdf
43,ng1-224803b18ce470,natural-gold-v1,605488_福莱新材_2025_ESG报告,g_party_building,党建工作,G,boolean,G/boolean,data/raw_pdfs/605488_福莱新材_2025_ESG报告.pdf
44,ng1-b1431db2d22406,natural-gold-v1,603683_晶华新材_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,S/quantitative,data/raw_pdfs/603683_晶华新材_2025_ESG报告.pdf
45,ng1-0900283202f8e2,natural-gold-v1,600963_岳阳林纸_2025_ESG报告,g_materiality_assessment,实质性议题评估,G,qualitative,G/qualitative,data/raw_pdfs/600963_岳阳林纸_2025_ESG报告.pdf
46,ng1-81aa933cda6a9b,natural-gold-v1,600846_同济科技_2025_ESG报告,s_data_security,数据安全与隐私保护,S,boolean,S/boolean,data/raw_pdfs/600846_同济科技_2025_ESG报告.pdf
47,ng1-069692173183d2,natural-gold-v1,300982_苏文电能_2025_ESG报告,s_patents,专利数量,S,quantitative,S/quantitative,data/raw_pdfs/300982_苏文电能_2025_ESG报告.pdf
48,ng1-ffc001117e29ae,natural-gold-v1,688128_中国电研_2025_ESG报告,g_investor_relations,投资者关系,G,qualitative,G/qualitative,data/raw_pdfs/688128_中国电研_2025_ESG报告.pdf
49,ng1-ffa46db437528a,natural-gold-v1,688690_纳微科技_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,G/qualitative,data/raw_pdfs/688690_纳微科技_2025_ESG报告.pdf
50,ng1-51876d7916df9d,natural-gold-v1,01950_帝王实业控股_2026_ESG报告,s_volunteer_hours,志愿服务时长,S,quantitative,S/quantitative,data/raw_pdfs/01950_帝王实业控股_2026_ESG报告.pdf
51,ng1-bd70cc02b19bcc,natural-gold-v1,002958_青农商行_2025_可持续发展报告,e_air_pollutants,大气污染物排放,E,quantitative,E/quantitative,data/raw_pdfs/002958_青农商行_2025_可持续发展报告.pdf
52,ng1-4e81ed14c025a5,natural-gold-v1,301522_上大股份_2025_ESG报告,s_volunteer_hours,志愿服务时长,S,quantitative,S/quantitative,data/raw_pdfs/301522_上大股份_2025_ESG报告.pdf
53,ng1-8c5cc035b1d3e1,natural-gold-v1,002568_百润股份_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,G/quantitative,data/raw_pdfs/002568_百润股份_2025_ESG报告.pdf
54,ng1-bfa31d357a9a6b,natural-gold-v1,000158_常山北明_2025_ESG报告,s_safety,安全生产,S,qualitative,S/qualitative,data/raw_pdfs/000158_常山北明_2025_ESG报告.pdf
55,ng1-5aed97f26fee12,natural-gold-v1,688409_富创精密_2025_ESG报告,e_fuel_consumption,燃料消耗量,E,quantitative,E/quantitative,data/raw_pdfs/688409_富创精密_2025_ESG报告.pdf
56,ng1-14e03634b479f5,natural-gold-v1,000968_蓝焰控股_2025_ESG报告,e_energy_total,能源消耗总量,E,quantitative,E/quantitative,data/raw_pdfs/000968_蓝焰控股_2025_ESG报告.pdf
57,ng1-7f4bae912b97a3,natural-gold-v1,601577_长沙银行_2025_可持续发展报告,s_occupational_health,职业健康,S,qualitative,S/qualitative,data/raw_pdfs/601577_长沙银行_2025_可持续发展报告.pdf
58,ng1-c3fda2646fb85b,natural-gold-v1,688515_裕太微_2025_ESG报告,g_compliance_management,合规管理,G,boolean,G/boolean,data/raw_pdfs/688515_裕太微_2025_ESG报告.pdf
59,ng1-e23597ee12c2fb,natural-gold-v1,000922_佳电股份_2026_ESG报告,e_energy_total,能源消耗总量,E,quantitative,E/quantitative,data/raw_pdfs/000922_佳电股份_2026_ESG报告.pdf
60,ng1-5c9023e0b16c01,natural-gold-v1,01847_云南建投混凝土_2025_ESG报告,s_safety,安全生产,S,qualitative,S/qualitative,data/raw_pdfs/01847_云南建投混凝土_2025_ESG报告.pdf
61,ng1-d35427a60685a8,natural-gold-v1,601106_中国一重_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,G/quantitative,data/raw_pdfs/601106_中国一重_2025_ESG报告.pdf
62,ng1-cf894ddd548e1b,natural-gold-v1,600855_航天长峰_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,G/qualitative,data/raw_pdfs/600855_航天长峰_2025_ESG报告.pdf
63,ng1-00465d80d0247c,natural-gold-v1,301522_上大股份_2025_ESG报告,g_investor_relations,投资者关系,G,qualitative,G/qualitative,data/raw_pdfs/301522_上大股份_2025_ESG报告.pdf
64,ng1-18db5ea3a819d9,natural-gold-v1,000881_中广核技_2025_ESG报告,s_employee_total,员工总数,S,quantitative,S/quantitative,data/raw_pdfs/000881_中广核技_2025_ESG报告.pdf
65,ng1-9a251be00fc60a,natural-gold-v1,600805_悦达投资_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,G/qualitative,data/raw_pdfs/600805_悦达投资_2025_ESG报告.pdf
66,ng1-bb1c4a39627640,natural-gold-v1,920167_同享科技_2025_ESG报告,s_training,员工培训,S,quantitative,S/quantitative,data/raw_pdfs/920167_同享科技_2025_ESG报告.pdf
67,ng1-1674a5a5c89540,natural-gold-v1,000403_派林生物_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,E/quantitative,data/raw_pdfs/000403_派林生物_2025_ESG报告.pdf
68,ng1-20a07a723091d1,natural-gold-v1,600779_水井坊_2025_ESG报告,e_waste_recycling,废弃物回收利用量,E,quantitative,E/quantitative,data/raw_pdfs/600779_水井坊_2025_ESG报告.pdf
69,ng1-5fd2835e8ab0e6,natural-gold-v1,600805_悦达投资_2025_ESG报告,e_ghg_scope1,直接温室气体排放量,E,quantitative,E/quantitative,data/raw_pdfs/600805_悦达投资_2025_ESG报告.pdf
70,ng1-151e34d6ad8d6e,natural-gold-v1,603329_上海雅仕_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,G/boolean,data/raw_pdfs/603329_上海雅仕_2025_ESG报告.pdf
71,ng1-f2e268854bdfc4,natural-gold-v1,000923_河钢资源_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,S/quantitative,data/raw_pdfs/000923_河钢资源_2025_ESG报告.pdf
72,ng1-a7c8306d560b2d,natural-gold-v1,300100_双林股份_2025_ESG报告,e_biodiversity,生物多样性保护,E,boolean,E/boolean,data/raw_pdfs/300100_双林股份_2025_ESG报告.pdf
73,ng1-2a974e17407ef0,natural-gold-v1,002851_麦格米特_2025_ESG暨社会责任报告,s_product_quality,产品质量管理,S,qualitative,S/qualitative,data/raw_pdfs/002851_麦格米特_2025_ESG暨社会责任报告.pdf
74,ng1-c96080ed4bb297,natural-gold-v1,002203_海亮股份_2025_ESG报告,s_patents,专利数量,S,quantitative,S/quantitative,data/raw_pdfs/002203_海亮股份_2025_ESG报告.pdf
75,ng1-e1dd5a8ab5f148,natural-gold-v1,02651_大众口腔_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,G/quantitative,data/raw_pdfs/02651_大众口腔_2025_ESG报告.pdf
76,ng1-96f1ab95d210ef,natural-gold-v1,605199_ST葫芦娃_2025_ESG报告,s_patents,专利数量,S,quantitative,S/quantitative,data/raw_pdfs/605199_ST葫芦娃_2025_ESG报告.pdf
77,ng1-ff9d5a25f47778,natural-gold-v1,600963_岳阳林纸_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,S/quantitative,data/raw_pdfs/600963_岳阳林纸_2025_ESG报告.pdf
78,ng1-248d21d2d2ce89,natural-gold-v1,300949_奥雅股份_2025_ESG报告,g_information_disclosure,信息披露,G,qualitative,G/qualitative,data/raw_pdfs/300949_奥雅股份_2025_ESG报告.pdf
79,ng1-1934e9178d8ac8,natural-gold-v1,300035_中科电气_2025_ESG报告,s_employee_total,员工总数,S,quantitative,S/quantitative,data/raw_pdfs/300035_中科电气_2025_ESG报告.pdf
80,ng1-2009073b743579,natural-gold-v1,603272_ST联翔_2025_ESG暨社会责任报告,e_nonhazardous_waste,一般废弃物产生量,E,quantitative,E/quantitative,data/raw_pdfs/603272_ST联翔_2025_ESG暨社会责任报告.pdf
81,ng1-16d4e347f19ab6,natural-gold-v1,603979_金诚信_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,E/quantitative,data/raw_pdfs/603979_金诚信_2025_ESG报告.pdf
82,ng1-87ed46184c199c,natural-gold-v1,01847_云南建投混凝土_2025_ESG报告,e_renewable_energy,可再生能源使用量,E,quantitative,E/quantitative,data/raw_pdfs/01847_云南建投混凝土_2025_ESG报告.pdf
83,ng1-ae0b1b3f4c2d52,natural-gold-v1,600846_同济科技_2025_ESG报告,s_employee_total,员工总数,S,quantitative,S/quantitative,data/raw_pdfs/600846_同济科技_2025_ESG报告.pdf
84,ng1-087551e75147e4,natural-gold-v1,603368_柳药集团_2025_ESG报告,g_anti_corruption_training,反腐败培训,G,quantitative,G/quantitative,data/raw_pdfs/603368_柳药集团_2025_ESG报告.pdf
85,ng1-bbfde41e30ff84,natural-gold-v1,300376_易事特_2025_可持续发展报告,e_voc,挥发性有机物排放量,E,quantitative,E/quantitative,data/raw_pdfs/300376_易事特_2025_可持续发展报告.pdf
86,ng1-cd6fa506787252,natural-gold-v1,600400_红豆股份_2025_ESG报告,e_ghg_scope2,间接温室气体排放量,E,quantitative,E/quantitative,data/raw_pdfs/600400_红豆股份_2025_ESG报告.pdf
87,ng1-d1df14832e33ae,natural-gold-v1,600480_凌云股份_2025_ESG报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,S/qualitative,data/raw_pdfs/600480_凌云股份_2025_ESG报告.pdf
88,ng1-0783bacd5aa493,natural-gold-v1,300468_四方精创_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,G/quantitative,data/raw_pdfs/300468_四方精创_2025_ESG报告.pdf
89,ng1-a3192938d6f5cf,natural-gold-v1,002627_三峡旅游_2025_ESG报告,g_stakeholder_communication,利益相关方沟通,G,qualitative,G/qualitative,data/raw_pdfs/002627_三峡旅游_2025_ESG报告.pdf
90,ng1-388d88a12cef59,natural-gold-v1,000825_太钢不锈_2025_可持续发展报告,e_climate_risk,气候风险管理,E,boolean,E/boolean,data/raw_pdfs/000825_太钢不锈_2025_可持续发展报告.pdf
91,ng1-17396b9dc6242f,natural-gold-v1,603272_ST联翔_2025_ESG暨社会责任报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,S/qualitative,data/raw_pdfs/603272_ST联翔_2025_ESG暨社会责任报告.pdf
92,ng1-44935d170f9402,natural-gold-v1,600713_南京医药_2025_ESG报告,e_environmental_penalty,环境处罚,E,boolean,E/boolean,data/raw_pdfs/600713_南京医药_2025_ESG报告.pdf
93,ng1-7bcdda1dd1d59a,natural-gold-v1,605377_华旺科技_2025_ESG报告,g_esg_strategy,ESG 战略目标,G,qualitative,G/qualitative,data/raw_pdfs/605377_华旺科技_2025_ESG报告.pdf
94,ng1-d1855f6973de79,natural-gold-v1,000810_创维数字_2025_ESG报告,g_materiality_assessment,实质性议题评估,G,qualitative,G/qualitative,data/raw_pdfs/000810_创维数字_2025_ESG报告.pdf
95,ng1-7798a1b90a8d6a,natural-gold-v1,02676_纳芯微_2025_ESG报告,s_customer_satisfaction,客户满意度,S,quantitative,S/quantitative,data/raw_pdfs/02676_纳芯微_2025_ESG报告.pdf
96,ng1-a26df8227c363c,natural-gold-v1,000923_河钢资源_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,S/quantitative,data/raw_pdfs/000923_河钢资源_2025_ESG报告.pdf
97,ng1-f8f380ba681adb,natural-gold-v1,688128_中国电研_2025_ESG报告,g_anti_corruption_training,反腐败培训,G,quantitative,G/quantitative,data/raw_pdfs/688128_中国电研_2025_ESG报告.pdf
98,ng1-f18ac13d94f647,natural-gold-v1,603329_上海雅仕_2025_ESG报告,g_information_disclosure,信息披露,G,qualitative,G/qualitative,data/raw_pdfs/603329_上海雅仕_2025_ESG报告.pdf
99,ng1-40981095565b2c,natural-gold-v1,603051_鹿山新材_2025_ESG报告,g_anti_corruption,反腐败机制,G,boolean,G/boolean,data/raw_pdfs/603051_鹿山新材_2025_ESG报告.pdf
100,ng1-31564512d0ab23,natural-gold-v1,000016_深康佳Ａ_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,G/quantitative,data/raw_pdfs/000016_深康佳Ａ_2025_ESG报告.pdf
101,ng1-05588700d94641,natural-gold-v1,300376_易事特_2025_可持续发展报告,s_safety,安全生产,S,qualitative,S/qualitative,data/raw_pdfs/300376_易事特_2025_可持续发展报告.pdf
102,ng1-9b60c7ebd43742,natural-gold-v1,688015_交控科技_2025_ESG暨社会责任报告,g_stakeholder_communication,利益相关方沟通,G,qualitative,G/qualitative,data/raw_pdfs/688015_交控科技_2025_ESG暨社会责任报告.pdf
103,ng1-1ea73344295735,natural-gold-v1,605399_晨光新材_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,G/boolean,data/raw_pdfs/605399_晨光新材_2025_ESG报告.pdf
104,ng1-177fc5a07c05ce,natural-gold-v1,600850_电科数字_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,G/quantitative,data/raw_pdfs/600850_电科数字_2025_ESG报告.pdf
105,ng1-38ab5b51de9e78,natural-gold-v1,688226_威腾电气_2025_ESG报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,S/qualitative,data/raw_pdfs/688226_威腾电气_2025_ESG报告.pdf
106,ng1-81343509e42f5a,natural-gold-v1,603808_歌力思_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,S/quantitative,data/raw_pdfs/603808_歌力思_2025_ESG报告.pdf
107,ng1-fbf20ec284d2db,natural-gold-v1,601360_三六零_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,E/boolean,data/raw_pdfs/601360_三六零_2025_ESG报告.pdf
108,ng1-71d395506805b0,natural-gold-v1,688709_成都华微_2025_ESG报告,s_supplier,供应商管理,S,boolean,S/boolean,data/raw_pdfs/688709_成都华微_2025_ESG报告.pdf
109,ng1-dd678fd503efe2,natural-gold-v1,688515_裕太微_2025_ESG报告,e_water_total,总用水量,E,quantitative,E/quantitative,data/raw_pdfs/688515_裕太微_2025_ESG报告.pdf
110,ng1-ca9f5b1a2a6d44,natural-gold-v1,600919_江苏银行_2025_可持续发展报告,s_occupational_health,职业健康,S,qualitative,S/qualitative,data/raw_pdfs/600919_江苏银行_2025_可持续发展报告.pdf
111,ng1-67faf555577a95,natural-gold-v1,002849_威星智能_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,S/quantitative,data/raw_pdfs/002849_威星智能_2025_ESG报告.pdf
112,ng1-ad011607dd6aa9,natural-gold-v1,301073_君亭酒店_2025_ESG报告,e_hazardous_waste,危险废弃物产生量,E,quantitative,E/quantitative,data/raw_pdfs/301073_君亭酒店_2025_ESG报告.pdf
113,ng1-8a040d726863a3,natural-gold-v1,002490_山东墨龙_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,G/boolean,data/raw_pdfs/002490_山东墨龙_2025_ESG报告.pdf
114,ng1-2a63f84c7840a3,natural-gold-v1,301308_江波龙_2025_ESG报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,S/qualitative,data/raw_pdfs/301308_江波龙_2025_ESG报告.pdf
115,ng1-7ff5a5e5066268,natural-gold-v1,000825_太钢不锈_2025_可持续发展报告,g_audit_committee,审计委员会,G,boolean,G/boolean,data/raw_pdfs/000825_太钢不锈_2025_可持续发展报告.pdf
116,ng1-e7dabb7d52f455,natural-gold-v1,09668_渤海银行_2025_ESG暨社会责任报告,e_environmental_penalty,环境处罚,E,boolean,E/boolean,data/raw_pdfs/09668_渤海银行_2025_ESG暨社会责任报告.pdf
117,ng1-ec5a7562e21b7b,natural-gold-v1,000598_兴蓉环境_2025_ESG报告,e_nonhazardous_waste,一般废弃物产生量,E,quantitative,E/quantitative,data/raw_pdfs/000598_兴蓉环境_2025_ESG报告.pdf
118,ng1-b6b52483bc6ddf,natural-gold-v1,002326_永太科技_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,E/quantitative,data/raw_pdfs/002326_永太科技_2025_ESG报告.pdf
119,ng1-5d8aad5925a1e4,natural-gold-v1,603990_麦迪科技_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,G/quantitative,data/raw_pdfs/603990_麦迪科技_2025_ESG报告.pdf
120,ng1-91977c7d07b5ea,natural-gold-v1,688218_江苏北人_2025_ESG报告,g_esg_strategy,ESG 战略目标,G,qualitative,G/qualitative,data/raw_pdfs/688218_江苏北人_2025_ESG报告.pdf
121,ng1-82fe2d4da30772,natural-gold-v1,603013_亚普股份_2025_ESG报告,s_supplier,供应商管理,S,boolean,S/boolean,data/raw_pdfs/603013_亚普股份_2025_ESG报告.pdf
122,ng1-75c28f61d978e8,natural-gold-v1,300972_万辰集团_2025_ESG报告,e_climate_risk,气候风险管理,E,boolean,E/boolean,data/raw_pdfs/300972_万辰集团_2025_ESG报告.pdf
123,ng1-a88559976da281,natural-gold-v1,300459_汤姆猫_2025_ESG报告,s_compensation_benefits,薪酬福利,S,qualitative,S/qualitative,data/raw_pdfs/300459_汤姆猫_2025_ESG报告.pdf
124,ng1-05b524600dcbd6,natural-gold-v1,601106_中国一重_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,S/quantitative,data/raw_pdfs/601106_中国一重_2025_ESG报告.pdf
125,ng1-a76d602deca724,natural-gold-v1,301522_上大股份_2025_ESG报告,e_nox,氮氧化物排放量,E,quantitative,E/quantitative,data/raw_pdfs/301522_上大股份_2025_ESG报告.pdf
126,ng1-8fb174159354f2,natural-gold-v1,00588_北京北辰实业股份_2025_可持续发展报告,e_carbon_management,碳排放管理措施,E,boolean,E/boolean,data/raw_pdfs/00588_北京北辰实业股份_2025_可持续发展报告.pdf
127,ng1-14a88c7f8f6f57,natural-gold-v1,02768_国恩科技_2025_可持续发展报告,g_tax_transparency,税务透明,G,qualitative,G/qualitative,data/raw_pdfs/02768_国恩科技_2025_可持续发展报告.pdf
128,ng1-72f6c2e8995ed0,natural-gold-v1,300376_易事特_2025_可持续发展报告,e_biodiversity,生物多样性保护,E,boolean,E/boolean,data/raw_pdfs/300376_易事特_2025_可持续发展报告.pdf
129,ng1-abf3103a878221,natural-gold-v1,000016_深康佳Ａ_2025_ESG报告,g_esg_strategy,ESG 战略目标,G,qualitative,G/qualitative,data/raw_pdfs/000016_深康佳Ａ_2025_ESG报告.pdf
130,ng1-a50c012a1e9f6a,natural-gold-v1,600855_航天长峰_2025_ESG报告,e_renewable_energy,可再生能源使用量,E,quantitative,E/quantitative,data/raw_pdfs/600855_航天长峰_2025_ESG报告.pdf
131,ng1-b944fbc5a223f4,natural-gold-v1,603717_天域生物_2025_ESG报告,s_product_quality,产品质量管理,S,qualitative,S/qualitative,data/raw_pdfs/603717_天域生物_2025_ESG报告.pdf
