pilot_order,pilot_id,task_id,dataset_version,report_id,indicator_id,indicator_name,dimension,indicator_type,stratum,pdf_path,manual_priority,disagreement_fields,disclosure_a,disclosure_b,value_a,value_b,unit_a,unit_b,evidence_pages_a,evidence_pages_b,evidence_text_a,evidence_text_b,confidence_a,confidence_b,note_a,note_b
28,pilot30-28,ng1-ffa46db437528a,natural-gold-v1,688690_纳微科技_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,G/qualitative,data/raw_pdfs/688690_纳微科技_2025_ESG报告.pdf,medium,evidence_text,found,found,,,,,41,41,公司全年常态化开展信息安全项目建设，有序推进系统巡检、漏洞扫描、安全应急演练及信息安全培训等工作，持续夯实信息安全基础，强化风险防控能力。2025年度公司发布了信息安全管理制度，制度约定了用户访问网络须经企业身份认证，自然年度内须定期执行信息安全审计，项目含巡检、漏扫、渗透、钓鱼演练等并对审计出的风险做处置。2025年完成1次资产梳理、2次漏洞扫描。1.次钓角测试、1次渗透。每周一次运程巡检，每月一次现场巡检，并出具安全服务报告。针对审计出的风险做出及时处置，如漏洞、渗透处理扫描中的高危风险，及时采取修改密码、对接口文件进行身份认证校验、禁用部分文件等解决方案；完成钓鱼测试推进覆盖全部部门的网络安全培训，并出具总结报告。,公司构建了规范的信息安全管理体系，涵盖日常巡检、漏洞扫描、渗透测试、应急演练及安全意识培训形成完整的风险识别、处置与应急管理流程。信息管理部统筹网络及系统安全，采用多层次技术防护体系保护客户隐私，并通过定期安全培训提升员工操作规范性，从源头减少信息安全风险,high,high,,
1,pilot30-01,ng1-a214898ca3c816,natural-gold-v1,688515_裕太微_2025_ESG报告,e_particulate,颗粒物排放量,E,quantitative,E/quantitative,data/raw_pdfs/688515_裕太微_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,low,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。
6,pilot30-06,ng1-a88559976da281,natural-gold-v1,300459_汤姆猫_2025_ESG报告,s_compensation_benefits,薪酬福利,S,qualitative,S/qualitative,data/raw_pdfs/300459_汤姆猫_2025_ESG报告.pdf,spot_check,,found,found,,,,,39,39,公司制定了《员工手册》《新员工入职培训制度》《公司薪酬制度》《考勤与休假管理办法》《绩效管理办法》等涵盖薪酬发放社保参保健康安全奖惩规则等内容保障员工合法权益的同时还为员工提供商业保险通讯补贴餐补交通补贴 健康体检以及生日福利节日福利休假福利等主富多样的福利体系，针对外省及外籍引进人才提供落户咨询与协助服务为外籍核心人才专项开通工作签证办理，居留许可申请等服务通道，全方位解决员工工作与生活后顾之忧,公司制定了《员工手册》《新员工入职培训制度》《公司薪酬制度》《考勤与休假管理办法》《绩效管理办法》等涵盖薪酬发放社保参保健康安全奖惩规则等内容保障员工合法权益的同时还为员工提供商业保险通讯补贴餐补交通补贴 健康体检以及生日福利节日福利休假福利等主富多样的福利体系，针对外省及外籍引进人才提供落户咨询与协助服务为外籍核心人才专项开通工作签证办理，居留许可申请等服务通道，全方位解决员工工作与生活后顾之忧,high,high,,
8,pilot30-08,ng1-4e81ed14c025a5,natural-gold-v1,301522_上大股份_2025_ESG报告,s_volunteer_hours,志愿服务时长,S,quantitative,S/quantitative,data/raw_pdfs/301522_上大股份_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,low,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。
9,pilot30-09,ng1-05b524600dcbd6,natural-gold-v1,601106_中国一重_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,S/quantitative,data/raw_pdfs/601106_中国一重_2025_ESG报告.pdf,spot_check,,found,found,11%,11%,%,%,43,43,女性员工占比 | 11%,女性员工占比 | 11%,high,high,,
10,pilot30-10,ng1-99c4e48ea2133a,natural-gold-v1,000922_佳电股份_2026_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,E/quantitative,data/raw_pdfs/000922_佳电股份_2026_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,low,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。
11,pilot30-11,ng1-e66f684c582642,natural-gold-v1,603051_鹿山新材_2025_ESG报告,e_ghg_scope2,间接温室气体排放量,E,quantitative,E/quantitative,data/raw_pdfs/603051_鹿山新材_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,medium,medium,候选证据中提到'范围二排放'作为衡量指标，但未明确披露具体数值或计算方法，仅作为指标名称出现。,候选证据中未明确提及范围二排放的具体数值，仅在表格的衡量指标中提到'范围二排放'作为指标名称，但未提供具体数值。
12,pilot30-12,ng1-594f5b57e98e5e,natural-gold-v1,000628_高新发展_2025_ESG报告,s_community_investment,公益慈善投入,S,quantitative,S/quantitative,data/raw_pdfs/000628_高新发展_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,medium,medium,候选证据仅提及'慈善捐赠'关键词，但未明确披露具体金额或量化数据，无法确认是否符合公益慈善投入（s_community_investment）的定量指标要求。,候选证据中仅提及'慈善捐赠'但未提供具体金额或数值，无法确认公益慈善投入的量化指标。
13,pilot30-13,ng1-a5602b3bb61764,natural-gold-v1,603333_尚纬股份_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,E/quantitative,data/raw_pdfs/603333_尚纬股份_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,low,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。
15,pilot30-15,ng1-17396b9dc6242f,natural-gold-v1,603272_ST联翔_2025_ESG暨社会责任报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,S/qualitative,data/raw_pdfs/603272_ST联翔_2025_ESG暨社会责任报告.pdf,spot_check,,found,found,,,,,9,9,公司执行董事会成员多元化政策，董事会成员构成充分考虑了公司业务模式和工作需要，兼顾了成员性别、年龄、文化及教育背景或专业经验。公司董事会由9名董事组成，其中包括独立董事3名、女性董事3名。,公司执行董事会成员多元化政策，董事会成员构成充分考虑了公司业务模式和工作需要，兼顾了成员性别、年龄、文化及教育背景或专业经验。公司董事会由9名董事组成，其中包括独立董事3名、女性董事3名。,high,high,,
16,pilot30-16,ng1-d1855f6973de79,natural-gold-v1,000810_创维数字_2025_ESG报告,g_materiality_assessment,实质性议题评估,G,qualitative,G/qualitative,data/raw_pdfs/000810_创维数字_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,low,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。
17,pilot30-17,ng1-4b0e234b421be2,natural-gold-v1,000758_中色股份_2025_ESG暨社会责任报告,g_shareholder_meetings,股东大会次数,G,quantitative,G/quantitative,data/raw_pdfs/000758_中色股份_2025_ESG暨社会责任报告.pdf,spot_check,,found,found,7,7,次,次,51,51,股东会召开次数 | 次 | 7 | 6 | 6,股东会召开次数 | 次 | 7 | 6 | 6,high,high,,
18,pilot30-18,ng1-9acb8fff719884,natural-gold-v1,002849_威星智能_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,E/qualitative,data/raw_pdfs/002849_威星智能_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,medium,medium,候选证据中未明确披露绿色产品与服务的具体内容，仅提及'绿色产品'作为标题或列表项，但未提供具体产品或服务的描述、认证情况或相关数据。,候选证据中未明确提及绿色产品与服务的具体指标内容，仅在标题和部分段落中出现相关关键词，但缺乏具体描述或数据支持。
19,pilot30-19,ng1-8d61e6526d3d5b,natural-gold-v1,06198_青岛港_2025_ESG报告,e_green_office,绿色办公,E,boolean,E/boolean,data/raw_pdfs/06198_青岛港_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,low,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。
21,pilot30-21,ng1-0810de675e781f,natural-gold-v1,688279_峰岹科技_2025_ESG报告,e_voc,挥发性有机物排放量,E,quantitative,E/quantitative,data/raw_pdfs/688279_峰岹科技_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,low,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。
23,pilot30-23,ng1-1937986d202d7f,natural-gold-v1,600396_华电辽能_2025_ESG报告,g_business_ethics,商业道德,G,boolean,G/boolean,data/raw_pdfs/600396_华电辽能_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,medium,medium,"候选证据中提到'合规理念 | 依法合规诚信守约 | 健全合规管理体系,诚信经营、履约尽责,维护股东、客户、员工等利益相关方合法权益。'，但未明确提及'商业道德'、'诚信经营'、'道德准则'等关键词，仅包含'诚信经营'作为合规理念的一部分，未直接披露商业道德指标。",候选证据中未明确提及商业道德、诚信经营、道德准则等关键词，仅在合规理念中提到“依法合规诚信守约”，但未明确说明公司是否建立了商业道德准则或相关制度。
24,pilot30-24,ng1-01ca3148eeb978,natural-gold-v1,688439_振华风光_2025_ESG报告,g_board_size,董事会人数,G,quantitative,G/quantitative,data/raw_pdfs/688439_振华风光_2025_ESG报告.pdf,spot_check,,found,found,7,7,人,人,43,43,董事会成员的人数 | 人 | 7,董事会成员的人数 | 人 | 7,high,high,,
25,pilot30-25,ng1-5500c17f76d665,natural-gold-v1,600331_宏达股份_2025_ESG报告,s_supplier,供应商管理,S,boolean,S/boolean,data/raw_pdfs/600331_宏达股份_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,medium,medium,"候选证据中未明确提及供应商管理、供应链管理、供应商审核、责任供应链、供应商管理制度或供应商审核机制等关键词，仅在风险应对部分提到""将环保与碳排放要求纳入供应商管理""，但未详细说明供应商管理制度或审核机制，因此无法确认是否满足指标要求。",候选证据中未明确提及供应商管理相关制度或机制，仅在表格中提到'将环保与碳排放要求纳入供应商管理'，但未明确说明供应商管理制度或审核机制，无法确定是否符合指标定义。
26,pilot30-26,ng1-10d1e1ebf35880,natural-gold-v1,920019_铜冠矿建_2025_ESG报告,e_waste_total,废弃物产生量,E,quantitative,E/quantitative,data/raw_pdfs/920019_铜冠矿建_2025_ESG报告.pdf,spot_check,,uncertain,uncertain,,,,,,,,,medium,medium,候选证据中未明确披露废弃物产生量（e_waste_total）的具体数值，仅提及'有害废弃物产生量'（5.69吨）和'固废资源化'等概念，但未明确对应指标。,候选证据中未明确提及废弃物产生量（e_waste_total）的具体数值，仅在环境绩效表格中出现'有害废弃物产生量'，但单位为吨，与指标定义的'废弃物产生量'不完全匹配，且无2025年数据。
29,pilot30-29,ng1-16d4e347f19ab6,natural-gold-v1,603979_金诚信_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,E/quantitative,data/raw_pdfs/603979_金诚信_2025_ESG报告.pdf,spot_check,,found,found,"181,973,525.14","181,973,525.14",千瓦时,千瓦时,82,82,"外购电力 | 千瓦时 | 181,973,525.14 | 172,819,597.87 | 215,670,914.52","外购电力 | 千瓦时 | 181,973,525.14 | 172,819,597.87 | 215,670,914.52",high,high,,
