pilot_order,pilot_id,task_id,dataset_version,report_id,indicator_id,indicator_name,dimension,indicator_type,stratum,pdf_path,draft_id,retrieval_strategy,model,prompt_version,disclosure,subject,period,scope,value,unit,evidence_pages,evidence_text,confidence,note,candidate_pages,candidate_block_ids,validation_status,validation_errors,raw_response_sha256,elapsed_seconds
11,pilot30-11,ng1-e66f684c582642,natural-gold-v1,603051_鹿山新材_2025_ESG报告,e_ghg_scope2,间接温室气体排放量,E,quantitative,E/quantitative,data/raw_pdfs/603051_鹿山新材_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,medium,候选证据中未明确提及范围二排放的具体数值，仅在表格的衡量指标中提到'范围二排放'作为指标名称，但未提供具体数值。,24,603051_鹿山新材_2025_ESG报告:p24:b1|603051_鹿山新材_2025_ESG报告:p24:b2|603051_鹿山新材_2025_ESG报告:p24:b3,valid,,0b769c930e7e084d99da91ca2faa92ad64b1ebb6e8ba82d091549e5915bada3b,0.708
12,pilot30-12,ng1-594f5b57e98e5e,natural-gold-v1,000628_高新发展_2025_ESG报告,s_community_investment,公益慈善投入,S,quantitative,S/quantitative,data/raw_pdfs/000628_高新发展_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,medium,候选证据中仅提及'慈善捐赠'但未提供具体金额或数值，无法确认公益慈善投入的量化指标。,"11,36",000628_高新发展_2025_ESG报告:p11:b86|000628_高新发展_2025_ESG报告:p11:b87|000628_高新发展_2025_ESG报告:p11:b88|000628_高新发展_2025_ESG报告:p36:b2|000628_高新发展_2025_ESG报告:p36:b3|000628_高新发展_2025_ESG报告:p36:b4,valid,,23fbe2360aaba0ae521a6ec52a363508577f315149345788db139d2a310d1faa,0.688
13,pilot30-13,ng1-a5602b3bb61764,natural-gold-v1,603333_尚纬股份_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,E/quantitative,data/raw_pdfs/603333_尚纬股份_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
14,pilot30-14,ng1-b3c8cbb3d6cafd,natural-gold-v1,688709_成都华微_2025_ESG报告,g_audit_committee,审计委员会,G,boolean,G/boolean,data/raw_pdfs/688709_成都华微_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,,,"18,21",董事会下设战略与ESG委员会、薪酬与考核委员会、提名委员会、审计委员会4个专门委员会，从不同的角度为公司发展和决策提供专业意见和建议。审计委员会成员由三名不在公司担任高级管理人员的董事组成，其中独立董事应当过半数，并由独立董事中会计专业人士担任召集人。主要负责公司内、外部审计的沟通、监督和核查工作，并行使《公司法》规定的监事会的职权。,high,,"18,19,20,21",688709_成都华微_2025_ESG报告:p20:b2|688709_成都华微_2025_ESG报告:p20:b3|688709_成都华微_2025_ESG报告:p20:b4|688709_成都华微_2025_ESG报告:p20:b5|688709_成都华微_2025_ESG报告:p21:b2|688709_成都华微_2025_ESG报告:p21:b3|688709_成都华微_2025_ESG报告:p21:b4|688709_成都华微_2025_ESG报告:p18:b2|688709_成都华微_2025_ESG报告:p18:b3|688709_成都华微_2025_ESG报告:p18:b4|688709_成都华微_2025_ESG报告:p18:b7|688709_成都华微_2025_ESG报告:p18:b8|688709_成都华微_2025_ESG报告:p18:b9|688709_成都华微_2025_ESG报告:p19:b6|688709_成都华微_2025_ESG报告:p19:b7|688709_成都华微_2025_ESG报告:p19:b8,needs_human,evidence_text_not_verbatim,8717407623ad10616ee5c17612fc56aeaa646f7cadaa80231c4cf8a8f7a29e56,0.932
15,pilot30-15,ng1-17396b9dc6242f,natural-gold-v1,603272_ST联翔_2025_ESG暨社会责任报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,S/qualitative,data/raw_pdfs/603272_ST联翔_2025_ESG暨社会责任报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,,,9,公司执行董事会成员多元化政策，董事会成员构成充分考虑了公司业务模式和工作需要，兼顾了成员性别、年龄、文化及教育背景或专业经验。公司董事会由9名董事组成，其中包括独立董事3名、女性董事3名。,high,,"9,27",603272_ST联翔_2025_ESG暨社会责任报告:p9:b10|603272_ST联翔_2025_ESG暨社会责任报告:p9:b11|603272_ST联翔_2025_ESG暨社会责任报告:p9:b12|603272_ST联翔_2025_ESG暨社会责任报告:p27:b13|603272_ST联翔_2025_ESG暨社会责任报告:p27:b14,valid,,059bdd02e3d75cbf42724d8c37e4191be3aeda6647c14e9286700fe38c494597,0.953
16,pilot30-16,ng1-d1855f6973de79,natural-gold-v1,000810_创维数字_2025_ESG报告,g_materiality_assessment,实质性议题评估,G,qualitative,G/qualitative,data/raw_pdfs/000810_创维数字_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
17,pilot30-17,ng1-4b0e234b421be2,natural-gold-v1,000758_中色股份_2025_ESG暨社会责任报告,g_shareholder_meetings,股东大会次数,G,quantitative,G/quantitative,data/raw_pdfs/000758_中色股份_2025_ESG暨社会责任报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,2025年,,7,次,51,股东会召开次数 | 次 | 7 | 6 | 6,high,,"9,17,18,51",000758_中色股份_2025_ESG暨社会责任报告:p51:b1|000758_中色股份_2025_ESG暨社会责任报告:p51:b2|000758_中色股份_2025_ESG暨社会责任报告:p51:b3|000758_中色股份_2025_ESG暨社会责任报告:p17:b3|000758_中色股份_2025_ESG暨社会责任报告:p17:b4|000758_中色股份_2025_ESG暨社会责任报告:p17:b5|000758_中色股份_2025_ESG暨社会责任报告:p17:b6|000758_中色股份_2025_ESG暨社会责任报告:p18:b7|000758_中色股份_2025_ESG暨社会责任报告:p18:b8|000758_中色股份_2025_ESG暨社会责任报告:p18:b9|000758_中色股份_2025_ESG暨社会责任报告:p18:b11|000758_中色股份_2025_ESG暨社会责任报告:p18:b12|000758_中色股份_2025_ESG暨社会责任报告:p18:b13|000758_中色股份_2025_ESG暨社会责任报告:p9:b15|000758_中色股份_2025_ESG暨社会责任报告:p9:b16|000758_中色股份_2025_ESG暨社会责任报告:p9:b17,valid,,53d87db55eabe945a4a925c3110c54f01cec335485bd4bbb741c4fe1c292c732,0.723
18,pilot30-18,ng1-9acb8fff719884,natural-gold-v1,002849_威星智能_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,E/qualitative,data/raw_pdfs/002849_威星智能_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,medium,候选证据中未明确提及绿色产品与服务的具体指标内容，仅在标题和部分段落中出现相关关键词，但缺乏具体描述或数据支持。,"11,36,40",002849_威星智能_2025_ESG报告:p11:b10|002849_威星智能_2025_ESG报告:p11:b11|002849_威星智能_2025_ESG报告:p11:b12|002849_威星智能_2025_ESG报告:p36:b4|002849_威星智能_2025_ESG报告:p36:b5|002849_威星智能_2025_ESG报告:p36:b6|002849_威星智能_2025_ESG报告:p40:b0|002849_威星智能_2025_ESG报告:p40:b1|002849_威星智能_2025_ESG报告:p40:b2,valid,,093fbe3c5f5ae73ccf945e51ca25264da0c5906827b1f6822a5f3d39ca36b164,0.772
19,pilot30-19,ng1-8d61e6526d3d5b,natural-gold-v1,06198_青岛港_2025_ESG报告,e_green_office,绿色办公,E,boolean,E/boolean,data/raw_pdfs/06198_青岛港_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
20,pilot30-20,ng1-c79f57a9656b02,natural-gold-v1,688560_明冠新材_2025_ESG报告,s_training,员工培训,S,quantitative,S/quantitative,data/raw_pdfs/688560_明冠新材_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,288,小时,44,培训总时长 | 小时 | 288 | 103,high,,"8,36,41,44",688560_明冠新材_2025_ESG报告:p44:b0|688560_明冠新材_2025_ESG报告:p44:b1|688560_明冠新材_2025_ESG报告:p44:b2|688560_明冠新材_2025_ESG报告:p36:b15|688560_明冠新材_2025_ESG报告:p36:b16|688560_明冠新材_2025_ESG报告:p36:b17|688560_明冠新材_2025_ESG报告:p36:b18|688560_明冠新材_2025_ESG报告:p36:b31|688560_明冠新材_2025_ESG报告:p36:b32|688560_明冠新材_2025_ESG报告:p41:b3|688560_明冠新材_2025_ESG报告:p41:b4|688560_明冠新材_2025_ESG报告:p41:b5|688560_明冠新材_2025_ESG报告:p8:b17|688560_明冠新材_2025_ESG报告:p8:b18|688560_明冠新材_2025_ESG报告:p8:b23|688560_明冠新材_2025_ESG报告:p8:b24,valid,,08661169e7946d498494fbaf9cbc8cbe12a4a1fbd51573e9666e2a013f0cd5db,0.666
21,pilot30-21,ng1-0810de675e781f,natural-gold-v1,688279_峰岹科技_2025_ESG报告,e_voc,挥发性有机物排放量,E,quantitative,E/quantitative,data/raw_pdfs/688279_峰岹科技_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
22,pilot30-22,ng1-61f2a376eb5c2b,natural-gold-v1,002627_三峡旅游_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,G/quantitative,data/raw_pdfs/002627_三峡旅游_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,8,次,52,2025年度，公司共召开股东会2次、董事会8次、专门委员会9次，累计接待投资者调研活动10次，通过互动易平台回复投资者关切92次，日均接听投资者来电2-3通，实现投资者沟通“零距离”、信息披露“零时差”。,high,,"49,52",002627_三峡旅游_2025_ESG报告:p49:b3|002627_三峡旅游_2025_ESG报告:p49:b4|002627_三峡旅游_2025_ESG报告:p49:b5|002627_三峡旅游_2025_ESG报告:p52:b5|002627_三峡旅游_2025_ESG报告:p52:b6|002627_三峡旅游_2025_ESG报告:p52:b7,valid,,8c485cef91c1b1f7e83aae9ce027a50a9f201054e4685751f1f654e96f07ce25,0.833
23,pilot30-23,ng1-1937986d202d7f,natural-gold-v1,600396_华电辽能_2025_ESG报告,g_business_ethics,商业道德,G,boolean,G/boolean,data/raw_pdfs/600396_华电辽能_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,medium,候选证据中未明确提及商业道德、诚信经营、道德准则等关键词，仅在合规理念中提到“依法合规诚信守约”，但未明确说明公司是否建立了商业道德准则或相关制度。,8,600396_华电辽能_2025_ESG报告:p8:b1|600396_华电辽能_2025_ESG报告:p8:b2|600396_华电辽能_2025_ESG报告:p8:b3,valid,,6bdf6e5ce2cf00dfda622ff9ee87b8078742b3604adf21b9517a76e2c7867528,0.925
24,pilot30-24,ng1-01ca3148eeb978,natural-gold-v1,688439_振华风光_2025_ESG报告,g_board_size,董事会人数,G,quantitative,G/quantitative,data/raw_pdfs/688439_振华风光_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,7,人,43,董事会成员的人数 | 人 | 7,high,,43,688439_振华风光_2025_ESG报告:p43:b1|688439_振华风光_2025_ESG报告:p43:b2,valid,,8ffeae7af5da2f78184b2be1867fe27686f03a7dff585fc0f6ca5e2397e58752,0.860
25,pilot30-25,ng1-5500c17f76d665,natural-gold-v1,600331_宏达股份_2025_ESG报告,s_supplier,供应商管理,S,boolean,S/boolean,data/raw_pdfs/600331_宏达股份_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,medium,候选证据中未明确提及供应商管理相关制度或机制，仅在表格中提到'将环保与碳排放要求纳入供应商管理'，但未明确说明供应商管理制度或审核机制，无法确定是否符合指标定义。,"21,23,32",600331_宏达股份_2025_ESG报告:p21:b11|600331_宏达股份_2025_ESG报告:p21:b12|600331_宏达股份_2025_ESG报告:p21:b13|600331_宏达股份_2025_ESG报告:p23:b8|600331_宏达股份_2025_ESG报告:p23:b9|600331_宏达股份_2025_ESG报告:p23:b10|600331_宏达股份_2025_ESG报告:p32:b0|600331_宏达股份_2025_ESG报告:p32:b1,valid,,964c1ff7e5ffa463c5ada7dba75063c0431f56df9af5fa0cc7680d042c818408,0.791
26,pilot30-26,ng1-10d1e1ebf35880,natural-gold-v1,920019_铜冠矿建_2025_ESG报告,e_waste_total,废弃物产生量,E,quantitative,E/quantitative,data/raw_pdfs/920019_铜冠矿建_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,medium,候选证据中未明确提及废弃物产生量（e_waste_total）的具体数值，仅在环境绩效表格中出现'有害废弃物产生量'，但单位为吨，与指标定义的'废弃物产生量'不完全匹配，且无2025年数据。,"7,15,20,35",920019_铜冠矿建_2025_ESG报告:p20:b9|920019_铜冠矿建_2025_ESG报告:p20:b10|920019_铜冠矿建_2025_ESG报告:p20:b23|920019_铜冠矿建_2025_ESG报告:p20:b24|920019_铜冠矿建_2025_ESG报告:p20:b25|920019_铜冠矿建_2025_ESG报告:p20:b26|920019_铜冠矿建_2025_ESG报告:p7:b2|920019_铜冠矿建_2025_ESG报告:p7:b3|920019_铜冠矿建_2025_ESG报告:p7:b4|920019_铜冠矿建_2025_ESG报告:p15:b23|920019_铜冠矿建_2025_ESG报告:p15:b24|920019_铜冠矿建_2025_ESG报告:p15:b25|920019_铜冠矿建_2025_ESG报告:p35:b1|920019_铜冠矿建_2025_ESG报告:p35:b2|920019_铜冠矿建_2025_ESG报告:p35:b3,valid,,de9621ac215df852a97c8657ce1b638bcf620d70a1311117c097f20263f0e814,0.778
27,pilot30-27,ng1-af0ae7ee0e2686,natural-gold-v1,000923_河钢资源_2025_ESG报告,s_occupational_health,职业健康,S,qualitative,S/qualitative,data/raw_pdfs/000923_河钢资源_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,,,"23,44",公司将员工健康与安全置于首位，严格遵守《公司员工行为准则》及安全、健康、环境和质量(SHEO)政策等规定，完善职业健康管理体系：积极组织开展员工健康体检，确保所有员工均接受医学检查并获准胜任其岗位职责，提前预防职业健康隐患；积极开展职业健康教育和宣传，组织安全文化调查活动，强化员工安全价值观与个人健康认知；关注男性员工与女性员工的心理健康，通过健康步行活动等方式及时缓解员工心理压力；建立帕拉博拉矿区诊所，提供医疗检查和处理意外伤害等医疗服务，并根据要求为员工进行艾滋病毒状况测试及员工援助计划(EAP)，致力于构建增进健康与福祉的工作环境。,high,,"10,23,44",000923_河钢资源_2025_ESG报告:p23:b3|000923_河钢资源_2025_ESG报告:p23:b4|000923_河钢资源_2025_ESG报告:p23:b5|000923_河钢资源_2025_ESG报告:p23:b6|000923_河钢资源_2025_ESG报告:p44:b22|000923_河钢资源_2025_ESG报告:p44:b23|000923_河钢资源_2025_ESG报告:p44:b24|000923_河钢资源_2025_ESG报告:p44:b25|000923_河钢资源_2025_ESG报告:p44:b45|000923_河钢资源_2025_ESG报告:p44:b46|000923_河钢资源_2025_ESG报告:p10:b0|000923_河钢资源_2025_ESG报告:p10:b1|000923_河钢资源_2025_ESG报告:p10:b2|000923_河钢资源_2025_ESG报告:p10:b4|000923_河钢资源_2025_ESG报告:p10:b5|000923_河钢资源_2025_ESG报告:p10:b6,valid,,e2f3b6d49c886d3e9bddcaf64a7c7a5f88f68d13afee95258560e01e86b41a34,1.284
28,pilot30-28,ng1-ffa46db437528a,natural-gold-v1,688690_纳微科技_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,G/qualitative,data/raw_pdfs/688690_纳微科技_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,,,41,公司构建了规范的信息安全管理体系，涵盖日常巡检、漏洞扫描、渗透测试、应急演练及安全意识培训形成完整的风险识别、处置与应急管理流程。信息管理部统筹网络及系统安全，采用多层次技术防护体系保护客户隐私，并通过定期安全培训提升员工操作规范性，从源头减少信息安全风险,high,,41,688690_纳微科技_2025_ESG报告:p41:b27|688690_纳微科技_2025_ESG报告:p41:b28|688690_纳微科技_2025_ESG报告:p41:b29,valid,,8587dce41e61a142e5700cc9087fcfdaf9fb1cace9578ed1f687654835266537,0.871
