pilot_order,pilot_id,task_id,dataset_version,report_id,indicator_id,indicator_name,dimension,indicator_type,stratum,pdf_path,draft_id,retrieval_strategy,model,prompt_version,disclosure,subject,period,scope,value,unit,evidence_pages,evidence_text,confidence,note,candidate_pages,candidate_block_ids,validation_status,validation_errors,raw_response_sha256,elapsed_seconds
12,pilot30-12,ng1-594f5b57e98e5e,natural-gold-v1,000628_高新发展_2025_ESG报告,s_community_investment,公益慈善投入,S,quantitative,S/quantitative,data/raw_pdfs/000628_高新发展_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,medium,候选证据仅提及'慈善捐赠'关键词，但未明确披露具体金额或量化数据，无法确认是否符合公益慈善投入（s_community_investment）的定量指标要求。,"11,36",000628_高新发展_2025_ESG报告:p11:b87|000628_高新发展_2025_ESG报告:p36:b3,valid,,7de1c00abf8f4808df48c875aa7958bd6ca1ad78d202fe42eae3f6e37e2af062,0.650
13,pilot30-13,ng1-a5602b3bb61764,natural-gold-v1,603333_尚纬股份_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,E/quantitative,data/raw_pdfs/603333_尚纬股份_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
14,pilot30-14,ng1-b3c8cbb3d6cafd,natural-gold-v1,688709_成都华微_2025_ESG报告,g_audit_committee,审计委员会,G,boolean,G/boolean,data/raw_pdfs/688709_成都华微_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,1,,18,董事会下设战略与ESG委员会、薪酬与考核委员会、提名委员会、审计委员会4个专门委员会,high,,"18,19,20,21",688709_成都华微_2025_ESG报告:p21:b3|688709_成都华微_2025_ESG报告:p20:b3|688709_成都华微_2025_ESG报告:p20:b4|688709_成都华微_2025_ESG报告:p18:b3|688709_成都华微_2025_ESG报告:p18:b8|688709_成都华微_2025_ESG报告:p18:b11|688709_成都华微_2025_ESG报告:p18:b15|688709_成都华微_2025_ESG报告:p19:b7,valid,,47a88e313fb79745c12f7bf51c833c9d368a1856a395eee02a3c3d6dd3730458,0.606
15,pilot30-15,ng1-17396b9dc6242f,natural-gold-v1,603272_ST联翔_2025_ESG暨社会责任报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,S/qualitative,data/raw_pdfs/603272_ST联翔_2025_ESG暨社会责任报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,,,9,公司执行董事会成员多元化政策，董事会成员构成充分考虑了公司业务模式和工作需要，兼顾了成员性别、年龄、文化及教育背景或专业经验。公司董事会由9名董事组成，其中包括独立董事3名、女性董事3名。,high,,"9,27",603272_ST联翔_2025_ESG暨社会责任报告:p9:b11|603272_ST联翔_2025_ESG暨社会责任报告:p27:b14,valid,,ed779be9c59d8e96e46f711f6c9324d90d0dfe141b2a1e017257597581aa4cc9,0.723
16,pilot30-16,ng1-d1855f6973de79,natural-gold-v1,000810_创维数字_2025_ESG报告,g_materiality_assessment,实质性议题评估,G,qualitative,G/qualitative,data/raw_pdfs/000810_创维数字_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
17,pilot30-17,ng1-4b0e234b421be2,natural-gold-v1,000758_中色股份_2025_ESG暨社会责任报告,g_shareholder_meetings,股东大会次数,G,quantitative,G/quantitative,data/raw_pdfs/000758_中色股份_2025_ESG暨社会责任报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,2025年,,7,次,51,股东会召开次数 | 次 | 7 | 6 | 6,high,,"9,17,18,51",000758_中色股份_2025_ESG暨社会责任报告:p51:b2|000758_中色股份_2025_ESG暨社会责任报告:p17:b5|000758_中色股份_2025_ESG暨社会责任报告:p9:b16|000758_中色股份_2025_ESG暨社会责任报告:p17:b4|000758_中色股份_2025_ESG暨社会责任报告:p18:b8|000758_中色股份_2025_ESG暨社会责任报告:p18:b12,valid,,2f6d763b2c182e275ece2cb9dbcac90e473bf8b5bb2bf83811f6c96088894bdf,0.623
18,pilot30-18,ng1-9acb8fff719884,natural-gold-v1,002849_威星智能_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,E/qualitative,data/raw_pdfs/002849_威星智能_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,medium,候选证据中未明确披露绿色产品与服务的具体内容，仅提及'绿色产品'作为标题或列表项，但未提供具体产品或服务的描述、认证情况或相关数据。,"11,36,40",002849_威星智能_2025_ESG报告:p11:b11|002849_威星智能_2025_ESG报告:p36:b5|002849_威星智能_2025_ESG报告:p40:b1,valid,,831cef3fad609acf6fad9131926fe7b8d92d8f504628689457677a5c02c29521,0.667
19,pilot30-19,ng1-8d61e6526d3d5b,natural-gold-v1,06198_青岛港_2025_ESG报告,e_green_office,绿色办公,E,boolean,E/boolean,data/raw_pdfs/06198_青岛港_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
20,pilot30-20,ng1-c79f57a9656b02,natural-gold-v1,688560_明冠新材_2025_ESG报告,s_training,员工培训,S,quantitative,S/quantitative,data/raw_pdfs/688560_明冠新材_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,2024年,,16,小时,44,安全培训总时长 | 小时 | 16 | 34,high,,"41,44",688560_明冠新材_2025_ESG报告:p44:b1|688560_明冠新材_2025_ESG报告:p41:b4,valid,,a85d315415647721019f0e512b719959f7cb2961fc057acdf841546c986ab9af,0.604
21,pilot30-21,ng1-0810de675e781f,natural-gold-v1,688279_峰岹科技_2025_ESG报告,e_voc,挥发性有机物排放量,E,quantitative,E/quantitative,data/raw_pdfs/688279_峰岹科技_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
22,pilot30-22,ng1-61f2a376eb5c2b,natural-gold-v1,002627_三峡旅游_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,G/quantitative,data/raw_pdfs/002627_三峡旅游_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,2025,,8,次,52,2025年度，公司共召开股东会2次、董事会8次、专门委员会9次，累计接待投资者调研活动10次，通过互动易平台回复投资者关切92次，日均接听投资者来电2-3通，实现投资者沟通“零距离”、信息披露“零时差”。,high,,"49,52",002627_三峡旅游_2025_ESG报告:p49:b4|002627_三峡旅游_2025_ESG报告:p52:b6,valid,,e5c35ad283147e65ed6f1a33b9e9e2107b053a48481ff0bfcbf70f9debe0323c,0.774
23,pilot30-23,ng1-1937986d202d7f,natural-gold-v1,600396_华电辽能_2025_ESG报告,g_business_ethics,商业道德,G,boolean,G/boolean,data/raw_pdfs/600396_华电辽能_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,medium,"候选证据中提到'合规理念 | 依法合规诚信守约 | 健全合规管理体系,诚信经营、履约尽责,维护股东、客户、员工等利益相关方合法权益。'，但未明确提及'商业道德'、'诚信经营'、'道德准则'等关键词，仅包含'诚信经营'作为合规理念的一部分，未直接披露商业道德指标。",8,600396_华电辽能_2025_ESG报告:p8:b2,valid,,3d61ab5802b5ba728a8409fc177c40e86ffa445d6358f3c766c0fa93bfde8d5c,0.849
24,pilot30-24,ng1-01ca3148eeb978,natural-gold-v1,688439_振华风光_2025_ESG报告,g_board_size,董事会人数,G,quantitative,G/quantitative,data/raw_pdfs/688439_振华风光_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,7,人,43,董事会成员的人数 | 人 | 7,high,,43,688439_振华风光_2025_ESG报告:p43:b1,valid,,71fddb761a0ce70f2097343f66e0893be5bc15c9b9958dd0ed5d75aa2db9e897,0.652
25,pilot30-25,ng1-5500c17f76d665,natural-gold-v1,600331_宏达股份_2025_ESG报告,s_supplier,供应商管理,S,boolean,S/boolean,data/raw_pdfs/600331_宏达股份_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,medium,"候选证据中未明确提及供应商管理、供应链管理、供应商审核、责任供应链、供应商管理制度或供应商审核机制等关键词，仅在风险应对部分提到""将环保与碳排放要求纳入供应商管理""，但未详细说明供应商管理制度或审核机制，因此无法确认是否满足指标要求。","21,23,32",600331_宏达股份_2025_ESG报告:p21:b12|600331_宏达股份_2025_ESG报告:p32:b0|600331_宏达股份_2025_ESG报告:p23:b9,valid,,78a07f8f5584473dfe38505fa6ceca54ec14615563a8759eccee2b2985cb224e,0.738
26,pilot30-26,ng1-10d1e1ebf35880,natural-gold-v1,920019_铜冠矿建_2025_ESG报告,e_waste_total,废弃物产生量,E,quantitative,E/quantitative,data/raw_pdfs/920019_铜冠矿建_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,medium,候选证据中未明确披露废弃物产生量（e_waste_total）的具体数值，仅提及'有害废弃物产生量'（5.69吨）和'固废资源化'等概念，但未明确对应指标。,"7,15,20,35",920019_铜冠矿建_2025_ESG报告:p35:b2|920019_铜冠矿建_2025_ESG报告:p20:b32|920019_铜冠矿建_2025_ESG报告:p7:b3|920019_铜冠矿建_2025_ESG报告:p15:b24|920019_铜冠矿建_2025_ESG报告:p20:b10|920019_铜冠矿建_2025_ESG报告:p20:b24|920019_铜冠矿建_2025_ESG报告:p20:b26|920019_铜冠矿建_2025_ESG报告:p20:b28,valid,,ad6c05932d503a955370f61046accc5ea9382bebd47664d35d4a20ecac93ca10,0.667
27,pilot30-27,ng1-af0ae7ee0e2686,natural-gold-v1,000923_河钢资源_2025_ESG报告,s_occupational_health,职业健康,S,qualitative,S/qualitative,data/raw_pdfs/000923_河钢资源_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,100,%,23,积极组织开展员工健康体检，确保所有员工均接受医学检查并获准胜任其岗位职责，提前预防职业健康隐患；,high,,"8,10,22,23,25,42",000923_河钢资源_2025_ESG报告:p23:b5|000923_河钢资源_2025_ESG报告:p10:b1|000923_河钢资源_2025_ESG报告:p10:b5|000923_河钢资源_2025_ESG报告:p42:b2|000923_河钢资源_2025_ESG报告:p8:b1|000923_河钢资源_2025_ESG报告:p22:b2|000923_河钢资源_2025_ESG报告:p22:b9|000923_河钢资源_2025_ESG报告:p25:b29,valid,,4a0cb01d105bbb6b2356f1539f98fa44a33aca5da08c8632d886c9305bf67c8f,0.678
28,pilot30-28,ng1-ffa46db437528a,natural-gold-v1,688690_纳微科技_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,G/qualitative,data/raw_pdfs/688690_纳微科技_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,,,41,公司全年常态化开展信息安全项目建设，有序推进系统巡检、漏洞扫描、安全应急演练及信息安全培训等工作，持续夯实信息安全基础，强化风险防控能力。2025年度公司发布了信息安全管理制度，制度约定了用户访问网络须经企业身份认证，自然年度内须定期执行信息安全审计，项目含巡检、漏扫、渗透、钓鱼演练等并对审计出的风险做处置。2025年完成1次资产梳理、2次漏洞扫描。1.次钓角测试、1次渗透。每周一次运程巡检，每月一次现场巡检，并出具安全服务报告。针对审计出的风险做出及时处置，如漏洞、渗透处理扫描中的高危风险，及时采取修改密码、对接口文件进行身份认证校验、禁用部分文件等解决方案；完成钓鱼测试推进覆盖全部部门的网络安全培训，并出具总结报告。,high,,41,688690_纳微科技_2025_ESG报告:p41:b28,valid,,b5c3d71bfb178ff7f2ec2aba9825dbe640977ca4c87614f5e8d6f77fffccdf00,1.089
29,pilot30-29,ng1-16d4e347f19ab6,natural-gold-v1,603979_金诚信_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,E/quantitative,data/raw_pdfs/603979_金诚信_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,2023年,,"181,973,525.14",千瓦时,82,"外购电力 | 千瓦时 | 181,973,525.14 | 172,819,597.87 | 215,670,914.52",high,,"33,42,82",603979_金诚信_2025_ESG报告:p82:b0|603979_金诚信_2025_ESG报告:p33:b2|603979_金诚信_2025_ESG报告:p33:b3|603979_金诚信_2025_ESG报告:p42:b2,valid,,81cb78b0e9d3b68e318a00609b23c2c8933f6c19e26648ea89426dcfb56f2728,0.787
30,pilot30-30,ng1-a50c012a1e9f6a,natural-gold-v1,600855_航天长峰_2025_ESG报告,e_renewable_energy,可再生能源使用量,E,quantitative,E/quantitative,data/raw_pdfs/600855_航天长峰_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
