report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,evidence_quote,page_no,block_id,block_type,error_category,root_cause,fix_strategy,raw_response
000881_中广核技_2025_ESG报告,s_rural_revitalization,乡村振兴,S,qualitative,error,,,2025年乡村振兴亮点举措：产业帮扶，百色市农产品电子束保鲜帮扶项目首次实现盈亏平衡；消费帮扶，采购农副产品；人才振兴，开展培训；种业振兴，应用辐照技术助力产业升级。,40,000881_中广核技_2025_ESG报告:p40:b4,table,llm_error,证据明确列出了乡村振兴的具体举措和成果，支持定性提取。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000881_中广核技_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,error,2,名,董事会成员9名 其中女性董事2名 独立董事3名,43,000881_中广核技_2025_ESG报告:p43:b5,paragraph,llm_error,证据明确披露女性董事人数，符合多元化指标要求。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000881_中广核技_2025_ESG报告,e_renewable_energy,可再生能源使用量,E,quantitative,error,1582.60,吨标准煤,"自产可再生能源用量 | 吨标准煤 | —— | 734.80 | 1,582.60",46,000881_中广核技_2025_ESG报告:p46:b17,table,llm_error,表格明确披露2025年自产可再生能源用量数值及单位。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000923_河钢资源_2025_ESG报告,e_air_pollutants,大气污染物排放,E,quantitative,error,135.7,吨,2025年，颗粒物（PM）排放135.7吨，二氧化硫（SO2）排放0.7吨，氮氧化物（NOx）排放110.2吨。,26,000923_河钢资源_2025_ESG报告:p26:b19,paragraph,llm_error,证据明确披露了2025年大气污染物排放数值。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000998_隆平高科_2025_ESG报告,e_energy_total,能源消耗总量,E,quantitative,error,"31,792.33",吨标准煤,"综合能源消耗总量 | 吨标准煤 | 31,792.33",89,000998_隆平高科_2025_ESG报告:p89:b2,table,llm_error,表格明确列出综合能源消耗总量数值及单位。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000998_隆平高科_2025_ESG报告,s_rural_revitalization,乡村振兴,S,qualitative,error,,,2025年，子公司隆平信息与深圳开鸿数字产业发展有限公司设立隆平开鸿农业科技（北京）有限公司，其作为数字农业领域的唯一合作平台，聚焦“农业开源鸿蒙操作系统”研发与生态建设，以数字新质生产力助力乡村振兴，保障国家农业数据与系统安全。,52,000998_隆平高科_2025_ESG报告:p52:b1,paragraph,llm_error,证据明确提及以数字新质生产力助力乡村振兴。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
001322_箭牌家居_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,error,"15,830.35",万度,"全年传统电力消耗总量 | 单位 | 2025年 | 2024年 | 2023年 全年传统电力消耗总量 | 万度 | 15,830.35 | 18,809.11 | 17,532.96",36,001322_箭牌家居_2025_ESG报告:p36:b3,table,llm_error,表格明确披露2025年传统电力消耗总量及单位。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002011_盾安环境_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,error,,,公司严格遵守《中华人民共和国网络安全法》等相关法律法规，建立《网络系统运行管理规定》等内部管理制度，强化技术防护与管理创新，全面提升信息安全保障能力。,32,002011_盾安环境_2025_ESG报告:p32:b17,paragraph,llm_error,证据明确披露了网络安全相关的内部管理制度及治理措施。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002035_华帝股份_2025_ESG报告,s_employee_rights,员工权益保障,S,qualitative,error,,,回应与沟通：保障员工权益·提供安全的职场环境·完善员工考核和晋升机制·多渠道员工沟通·设立举报电话、信箱及邮箱,9,002035_华帝股份_2025_ESG报告:p9:b3,table,llm_error,证据明确列出员工权益保障的具体措施与沟通机制。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002048_宁波华翔_2025_ESG报告,s_data_security,数据安全与隐私保护,S,boolean,error,true,,"信息安全与客户隐私保护...泄露客户隐私次数 0...隐私与数据安全培训总时长 8,936",47,002048_宁波华翔_2025_ESG报告:p47:b2,table,llm_error,证据明确披露了数据安全与隐私保护的绩效指标及培训情况。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002203_海亮股份_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,error,true,,制定《海亮股份招聘管理办法》，明确禁止任何形式的就业歧视，严禁雇用童工和强迫劳动，确保用工符合法律法规。,35,002203_海亮股份_2025_ESG报告:p35:b4,paragraph,llm_error,证据明确披露了禁止歧视、童工及强迫劳动的人权准则。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002326_永太科技_2025_ESG报告,e_particulate,颗粒物排放量,E,quantitative,error,0.62,吨,废气排放情况 颗粒物 | 吨 | 0.62,48,002326_永太科技_2025_ESG报告:p48:b5,table,llm_error,表格明确列出颗粒物排放量为0.62吨 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002444_巨星科技_2025_ESG报告,s_community_investment,公益慈善投入,S,quantitative,error,125.29,万元人民币,社会公益投入金额 | 单位 | 2025年 社会公益投入金额 | 万元人民币 | 125.29,47,002444_巨星科技_2025_ESG报告:p47:b6,table,llm_error,表格明确披露2025年社会公益投入金额及单位。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002490_山东墨龙_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,error,349,人,按性别 | 女性 | 人 | 386 | 349,73,002490_山东墨龙_2025_ESG报告:p73:b0,table,llm_error,证据明确披露2025年女性员工人数为349人。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002490_山东墨龙_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,error,2,起,工伤事故起数 | 起 | 8 | 2 工伤人数 | 人 | 8 | 2 因工死亡事故起数 | 起 | 0 | 0,71,002490_山东墨龙_2025_ESG报告:p71:b0,table,llm_error,表格明确披露2025年工伤事故起数为2起。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002490_山东墨龙_2025_ESG报告,g_information_disclosure,信息披露,G,qualitative,error,,,公司高度重视信息披露工作，严格按照有关法律法规以及《信息披露管理制度》等相关要求，规范信息披露的内容、形式、流程、责任划分与保密管理，通过境内外指定披露平台，同步发布会议通知、决议公告等重要信息，保障全体投资者公平、公正、公开获取公司信息，持续提升信息披露质量与公司治理透明度。,17,002490_山东墨龙_2025_ESG报告:p17:b18,paragraph,llm_error,证据明确描述了公司信息披露的制度遵循、规范流程及平台发布情况，符合定性指标要求。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002533_金杯电工_2025_ESG报告,s_safety,安全生产,S,qualitative,error,,,依托《中华人民共和国安全生产法》等法规要求，公司搭建覆盖责任落实、安全教育、危险作业等全场景的专项管理制度体系，总部及部分子公司通过安全ISO安全45001职业健康安全管理体系认证，形成“制度引领、责任压实、全员参与”的管理模式。,41,002533_金杯电工_2025_ESG报告:p41:b0,paragraph,llm_error,证据明确描述了安全生产管理制度体系及认证情况。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002533_金杯电工_2025_ESG报告,s_supplier,供应商管理,S,boolean,error,true,,公司制定《供应商准入管理制度》等制度，强化供应商的动态发现、评价更新机制，围绕供方认证、分类分级、绩效评估、考察培养及退出管理为供应商构建了全生命周期管理体系。,33,002533_金杯电工_2025_ESG报告:p33:b3,paragraph,llm_error,证据明确披露了供应商管理制度及全生命周期管理体系。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002663_普邦股份_2025_ESG报告,s_employee_rights,员工权益保障,S,qualitative,error,,,员工关注议题：薪酬与福利、发展与培训、健康与安全、民主管理。沟通与回应：完善薪酬福利体系、建立职业晋升路径、开展员工关怀、职业病防护与体检、职工代表大会。,7,002663_普邦股份_2025_ESG报告:p7:b2,table,llm_error,证据明确列出了员工权益保障的具体措施和沟通回应机制。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002663_普邦股份_2025_ESG报告,g_stakeholder_communication,利益相关方沟通,G,qualitative,error,,,沟通与回应：·股东会·定期报告及临时公告·日常沟通(电话、邮件、互动易平台)·投资者活动·内控审计 ·完善薪酬福利体系·建立职业晋升路径·开展员工关怀 ·反商业贿赂及反贪污·客户拜访·客户服务热线·满意度调查 ·反不正当竞争·技术创新·行业论坛、活动 ·绿色运营·污染防控·社区活动·公益慈善,7,002663_普邦股份_2025_ESG报告:p7:b2,table,llm_error,证据详细列出了与各利益相关方的沟通方式。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002663_普邦股份_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,error,,,实施全面数据备份、常态化病毒防治、严格远程访问管控、完善应急响应机制、部署双重防火墙屏障、深化日志审计与漏洞排查。,17,002663_普邦股份_2025_ESG报告:p17:b24,image,llm_error,证据明确列出了网络安全风险管理的核心举措，涵盖备份、防治、管控、响应、防火墙及审计等方面。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002692_远程股份_2026_ESG报告,e_waste_total,废弃物产生量,E,quantitative,error,93.52,吨,一般废弃物产生量 吨 62.58 62.28 危险废物产生量 吨 30.94 52.37,28,002692_远程股份_2026_ESG报告:p28:b4,table,llm_error,证据包含一般固废和危废产生量，加总得2025年总量。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002692_远程股份_2026_ESG报告,s_product_quality,产品质量管理,S,qualitative,error,,,公司制定并实施《质量管理办法》等管理制度，实现对产品生产与服务提供的全流程规范化管控。公司设立了质量管理机构，推动质量策划、控制、保证与改进。,39,002692_远程股份_2026_ESG报告:p39:b6,paragraph,llm_error,证据明确披露了质量管理体系、制度、机构及认证情况。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002807_江阴银行_2025_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,error,"10,957.22",吨二氧化碳当量,"温室气体排放总量(范围一和范围二) | 吨二氧化碳当量 | 10,957.22",14,002807_江阴银行_2025_ESG报告:p14:b3,table,llm_error,证据明确披露2025年温室气体排放总量数值及单位。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002807_江阴银行_2025_ESG报告,e_energy_total,能源消耗总量,E,quantitative,error,"2,414.95",吨标准煤,"能源消耗总量 | 吨标准煤 | 2,414.95",19,002807_江阴银行_2025_ESG报告:p19:b17,table,llm_error,表格明确列出2025年能源消耗总量数值及单位。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002807_江阴银行_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,error,,,本行严格遵循《中华人民共和国网络安全法》等法律法规，制定《信息安全管理制度》《网络安全管理办法》等一系列政策制度和管理规范，构筑完善的信息安全与数据管理体系，建立信息安全事件自动预警机制。,31,002807_江阴银行_2025_ESG报告:p31:b35,paragraph,llm_error,证据明确披露了网络安全相关的管理制度、体系及预警机制。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002851_麦格米特_2025_ESG暨社会责任报告,e_waste_total,废弃物产生量,E,quantitative,error,2098.74,吨,"有害废弃物总量 吨 152.27 无害废弃物总量 吨 1,946.47",47,002851_麦格米特_2025_ESG暨社会责任报告:p47:b0,table,llm_error,证据明确列出有害及无害废弃物2025年数据，加总得总量。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
002886_沃特股份_2025_ESG报告,s_customer_satisfaction,客户满意度,S,quantitative,error,96.22,分,2025 客户满意度(分) | 96.22,26,002886_沃特股份_2025_ESG报告:p26:b33,table,llm_error,表格明确披露2025年客户满意度数值及单位。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
00568_山东墨龙_2025_ESG报告,g_party_building,党建工作,G,boolean,error,True,,墨龙党建 主要荣誉 先进基层党组织 共产党员示范商户 党员领春党领导头参与职工集体贡献献益活动 预备党员参与党史学习,14,00568_山东墨龙_2025_ESG报告:p14:b2,image,llm_error,证据明确提及党建荣誉及活动，证实披露了党建工作。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
01432_中国圣牧_2025_ESG报告,g_anti_corruption,反腐败机制,G,boolean,error,true,,公司高度重視廉政建設及反腐敗反貪汙工作，設立紀檢部門貫徹落實關於反腐敗工作的各項要求制定《禮品禮金管理辦法》《業務招待費用管理制度》等一系列制度規範,14,01432_中国圣牧_2025_ESG报告:p14:b12,paragraph,llm_error,证据明确披露了设立纪检部门及制定反腐败相关制度规范。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
02402_亿华通_2025_ESG报告,s_data_security,数据安全与隐私保护,S,boolean,error,true,,客户数据与隐私管理...已证实的信息安全事件数量,11,02402_亿华通_2025_ESG报告:p11:b5,table,llm_error,证据明确提及客户数据与隐私管理及信息安全事件统计，符合披露要求。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
02402_亿华通_2025_ESG报告,g_anti_corruption,反腐败机制,G,boolean,error,true,,GRI 205: 反腐败 2016 205-2 | 反腐败政策和程序的传达及培训 | 商业道德建设 205-3 | 经确认的腐败事件和采取的行动 | 商业道德建设,59,02402_亿华通_2025_ESG报告:p59:b1,table,llm_error,GRI索引明确列出反腐败政策、培训及事件披露位置，证实机制存在。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
06198_青岛港_2025_ESG报告,g_risk_management,风险管理体系,G,boolean,error,true,,董事會決策機構，指導公司內部控制系統的建設和實施。審計委員會審查監督公司內部控制系統運行情況。,18,06198_青岛港_2025_ESG报告:p18:b8,image,llm_error,证据明确披露了内部控制管理架构及各部门职责，符合风险管理体系披露要求。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
06810_商米科技-Ｗ_2025_ESG报告,s_data_security,数据安全与隐私保护,S,boolean,error,true,,依据《信息安全等级保护管理办法》的有关规定，上海商米科技集团股份有限公司单位的：商米官网系统 第二级 予以备案。,38,06810_商米科技-Ｗ_2025_ESG报告:p38:b2,image,llm_error,证据显示系统通过等保二级备案，证明有数据安全机制。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
06810_商米科技-Ｗ_2025_ESG报告,g_stakeholder_communication,利益相关方沟通,G,qualitative,error,,,利益相關方溝通方式：股東/投資者·企業年報、中期報告與公告·股東會·業績說明會·投資者見面會·電話、郵件、網站意見回饋平臺；商戶與企業·大客戶關係·客戶滿意度調查·全球服務網絡·展會、論壇、峰會等活動·網站及社交媒體；開發者/管道商/供應商/承包商·採購活動·網站、社交媒體·夥伴大會·共創與賦能·培訓與評估；員工·職工大會/職工代表大會·新員工入職培訓·定期溝通與培訓·組織活力調研·心社區(內部溝通平臺)·CEO意見箱、內部申訴郵件、電話；政府/監管機構·日常溝通彙報·專題調研與現場會·會議、論壇交流·標準、政策制定、意見回饋·網站、社交媒體；NGOs/國際組織/專業機構·論壇/峰會活動·可持續發展合作專案·來訪接待與訪談；社區·走訪與現場調研·意見回饋·網路、社交媒體；媒體/意見領袖/行業組織·論壇/峰會活動·來訪接待與訪談·網站、社交媒體；環境組織·低碳宣傳·生態環保公益志願活動·環境相關運營數據披露,12,06810_商米科技-Ｗ_2025_ESG报告:p12:b9,table,llm_error,证据表格详细列出了各类利益相关方及其对应的沟通方式，信息完整明确。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
06810_商米科技-Ｗ_2025_ESG报告,g_anti_corruption,反腐败机制,G,boolean,error,true,,GRI 205-1 已進行腐敗風險評估的運營點 今年開展了廉潔 / 反貪腐內部風險評估的子公司百分比 100%。GRI 205-2 反腐敗政策和程式的傳達及培訓 員工簽署廉潔承諾書 / 簽收廉潔告知函的人數 1263。,66,06810_商米科技-Ｗ_2025_ESG报告:p66:b2,table,llm_error,证据明确披露了反腐败风险评估、政策传达及培训机制。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
09668_渤海银行_2025_ESG暨社会责任报告,s_employee_rights,员工权益保障,S,qualitative,error,,,本行認真落實以職代會為基本形式的民主管理制度，依託工會組織促進廣大員工充分參與企業民主管理，合力構建和諧勞動關係。,87,09668_渤海银行_2025_ESG暨社会责任报告:p87:b7,paragraph,llm_error,证据明确描述了民主管理制度及员工参与情况，符合员工权益保障定性指标要求。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300035_中科电气_2025_ESG报告,e_nox,氮氧化物排放量,E,quantitative,error,11.61,吨,氮氧化物排放总量 | 吨 | 11.61 | 4.95,38,300035_中科电气_2025_ESG报告:p38:b10,table,llm_error,表格明确披露2025年氮氧化物排放总量为11.61吨。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300035_中科电气_2025_ESG报告,e_particulate,颗粒物排放量,E,quantitative,error,2.65,吨,颗粒物排放总量 | 吨 | 2.65 | 19.14,38,300035_中科电气_2025_ESG报告:p38:b10,table,llm_error,表格明确披露2025年颗粒物排放总量为2.65吨。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300035_中科电气_2025_ESG报告,s_supplier,供应商管理,S,boolean,error,true,,制定《供应商管理控制程序》《招标管理制度》等内部管理制度文件，对供应商准入、分类、评价、审计、质量控制、风险管理与廉洁管理等关键环节进行全面管理,49,300035_中科电气_2025_ESG报告:p49:b3,paragraph,llm_error,证据明确披露了供应商管理制度及全生命周期管理措施。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300035_中科电气_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,error,true,,制定《禁止强迫劳动和保障自由制度》《禁止使用童工及童工救济制度》《无歧视、无骚扰、无虐待制度》等专项制度,54,300035_中科电气_2025_ESG报告:p54:b4,paragraph,llm_error,证据明确披露了禁止强迫劳动、童工及反歧视等劳工准则相关制度。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300149_睿智医药_2025_ESG报告,e_waste_total,废弃物产生量,E,quantitative,error,1080.10,吨,"有害废弃物总量 吨 1,050.30 无害废弃物总量 吨 29.80",40,300149_睿智医药_2025_ESG报告:p40:b0,table,llm_error,证据表格明确列示2025年有害及无害废弃物总量，加和得总产生量。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300149_睿智医药_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,error,0.23%,%,工伤率 0.23%,30,300149_睿智医药_2025_ESG报告:p30:b3,table,llm_error,证据明确披露工伤率为0.23% evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300149_睿智医药_2025_ESG报告,s_research_development,研发投入,S,quantitative,error,"5,984.17",万元,"| 指标 | 单位 | 2024年 | 2025年 研发 | 研发投入 | 万元 | 5,955.09 | 5,984.17",40,300149_睿智医药_2025_ESG报告:p40:b0,table,llm_error,表格明确披露2025年研发投入数值及单位 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300149_睿智医药_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,error,true,,公司严格遵守《劳动法》等法律法规，制定《反强迫劳动与合规用工管理制度》等内部制度，确保员工健康和安全的工作环境。,26,300149_睿智医药_2025_ESG报告:p26:b6,paragraph,llm_error,证据明确披露了公司制定并执行反强迫劳动、反歧视及合规用工的相关制度与承诺。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300149_睿智医药_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,error,50,%,董事会成员人数 人 6 6 独立董事人数 人 3 3,40,300149_睿智医药_2025_ESG报告:p40:b1,table,llm_error,证据明确给出董事总数6人，独立董事3人，占比50%。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300212_易华录_2025_ESG报告,s_compensation_benefits,薪酬福利,S,qualitative,error,,,完善薪酬福利体系...员工福利体系：法定福利、津贴福利、健康福利、工会福利、休假福利...为女职工提供公平的...薪酬福利...机会。,38,300212_易华录_2025_ESG报告:p38:b10,image,llm_error,证据详细列出了员工福利体系的具体构成，符合定性指标要求。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300212_易华录_2025_ESG报告,g_anti_corruption,反腐败机制,G,boolean,error,true,,公司严格遵守《关于禁止商业贿赂行为的暂行规定》等法律法规，制定《领导干部廉洁自律学习办法》等制度，建立以纪委为核心的监督管理体系，常态化开展反商业贿赂宣贯。,18,300212_易华录_2025_ESG报告:p18:b15,paragraph,llm_error,证据明确披露了反腐败制度、监督体系及宣贯措施。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300261_雅本化学_2025_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,error,"69,477.00",吨二氧化碳当量,"2025年 温室气体排放总量(范围1&2)(吨二氧化碳当量) | 69,477.00",25,300261_雅本化学_2025_ESG报告:p25:b26,table,llm_error,表格明确披露2025年温室气体排放总量数值及单位。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300261_雅本化学_2025_ESG报告,g_audit_committee,审计委员会,G,boolean,error,true,,"监督层 | 董事会及其审计委员会 | · 审计委员会:在董事会授权下,负责监督及评估内外部审计工作与内部控制的有效性",43,300261_雅本化学_2025_ESG报告:p43:b6,table,llm_error,证据明确披露了审计委员会的存在及其职责。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300376_易事特_2025_可持续发展报告,s_training,员工培训,S,quantitative,error,"24,523",人次,"接受培训总人次 | 人次 | 8,465 | 23,993 | 24,523 员工培训覆盖率(员工培训参与率) | % | 100 | 100 | 100 每名员工每年接受培训平均时长 | 小时/人 | 58.05 | 30.23 | 30.63",60,300376_易事特_2025_可持续发展报告:p60:b1,table,llm_error,表格明确披露2025年员工培训总人次及覆盖率等定量数据。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
300597_吉大通信_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,error,,,公司建立了完善的信息安全管理体系，通过制定并实施《吉大通信信息安全、信息技术服务管理手册》《吉大通信网络安全管理规范》等一系列制度文件，为信息安全工作提供坚实的制度保障。,60,300597_吉大通信_2025_ESG报告:p60:b17,paragraph,llm_error,证据明确披露了网络安全治理相关的制度体系建立情况。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
