review_id,report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,qualitative_text,evidence_quote,page_no,block_id,block_type,source_candidate_count,llm_confidence,llm_reason,postprocess_repaired,quantitative_incomplete,repair_method,repair_reason,risk_tag,risk_level,caution_tag,review_reason,needs_manual_check,suspected_issue_type
RS-0011,920299_灿能电力_2025_可持续发展报告,e_environmental_penalty,环境处罚,E,boolean,found,true,,报告中明确披露环保处罚事件为0起，表明无环境处罚事件发生。,环保处罚事件 | 起 | | 0,38,920299_灿能电力_2025_可持续发展报告:p38:b11,table,2,0.0000,明确披露环保处罚事件为0,false,false,none,,possible_policy_as_boolean,medium,high_risk_indicator,boolean evidence is only a short title-like phrase,true,possible_policy_as_boolean
RS-0012,603373_安邦护卫_2025_ESG暨社会责任报告,s_work_injury,工伤事故,S,quantitative,found,85221,万元,,2025年，公司投入85221万元用于安全生产工作，各类安全风险因素得到有效管控，未发生重大伤亡事故。,26,603373_安邦护卫_2025_ESG暨社会责任报告:p26:b22,paragraph,2,0.0000,明确数值和单位,false,false,none,,possible_money_as_count,high,high_risk_indicator,count-like indicator uses money unit,true,possible_money_as_count
RS-0013,002444_巨星科技_2025_ESG报告,e_air_pollutants,大气污染物排放,E,quantitative,found,"3,350",万立方米,,"废气排放总量 | 万立方米 | 3,350",19,002444_巨星科技_2025_ESG报告:p19:b16,table,4,0.9500,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0014,600855_航天长峰_2025_ESG报告,e_hazardous_waste,危险废弃物产生量,E,quantitative,found,4.10,吨,,危险废物处置量 | 吨 | 4.10 危险废物产生量 | 吨 | 4.10,49,600855_航天长峰_2025_ESG报告:p49:b7,table,4,0.9500,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0015,000557_西部创业_2025_可持续发展报告,e_water_total,总用水量,E,quantitative,found,"154,443.00",吨,,"总用水量 | 吨 | 154,443.00 | 159,764.00",50,000557_西部创业_2025_可持续发展报告:p50:b1,table,4,0.0000,明确数值,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0016,002490_山东墨龙_2025_ESG报告,e_energy_total,能源消耗总量,E,quantitative,found,"46,245.59",吨标煤,,"综合能源消耗量 | 吨标煤 | 46,245.59",32,002490_山东墨龙_2025_ESG报告:p32:b3,table,2,0.9500,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0017,601956_东贝集团_2025_ESG报告,e_ghg_scope2,间接温室气体排放量,E,quantitative,found,"182,489",吨二氧化碳当量,,"间接温室气体排放量(范围二) | 吨二氧化碳当量 | 182,489",25,601956_东贝集团_2025_ESG报告:p25:b22,table,2,0.0000,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0018,688128_中国电研_2025_ESG报告,e_energy_total,能源消耗总量,E,quantitative,found,12360.42,吨标准煤,,"能源消耗总量 | 吨标准煤 | 10,729.63 | 12,360.42",52,688128_中国电研_2025_ESG报告:p52:b4,table,2,0.9500,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0019,688147_微导纳米_2025_ESG报告,e_waste_total,废弃物产生量,E,quantitative,found,1.13,吨,,产生的有害废弃物总量 | 吨 | 1.13 | 9.8,48,688147_微导纳米_2025_ESG报告:p48:b4,table,3,0.0000,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0020,000777_中核科技_2025_ESG暨社会责任报告,e_energy_total,能源消耗总量,E,quantitative,found,"2,149.21",吨标准煤,,"能源消耗总量 | 吨标准煤 | 2,149.21",27,000777_中核科技_2025_ESG暨社会责任报告:p27:b0,table,4,0.9500,明确数值匹配指标名称。,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0021,000881_中广核技_2025_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,found,"140,841.94",吨二氧化碳,,"温室气体排放总量140,841.94吨二氧化碳，较2024年下降0.02%",18,000881_中广核技_2025_ESG报告:p18:b2,list,2,0.0000,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0022,600805_悦达投资_2025_ESG报告,e_hazardous_waste,危险废弃物产生量,E,quantitative,found,44.43,吨,,产生的有害废弃物总量(吨) | 44.43 | 39.17,11,600805_悦达投资_2025_ESG报告:p11:b20,table,1,0.0000,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0023,601106_中国一重_2025_ESG报告,e_fuel_consumption,燃料消耗量,E,quantitative,found,"339,614.55",吨标准煤,,"化石能源消耗量 | 吨标准煤 | 339,851.22 | 339,614.55 | 278,786.95",24,601106_中国一重_2025_ESG报告:p24:b15,table,4,0.9500,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0024,600737_中粮糖业_2025_ESG报告,e_ghg_scope1,直接温室气体排放量,E,quantitative,found,"1,227,725.16",吨二氧化碳当量,,"范围一温室气体排放量 | 吨二氧化碳当量 | 1,227,725.16",18,600737_中粮糖业_2025_ESG报告:p18:b3,table,5,0.9500,明确数值匹配,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0025,603660_苏州科达_2025_ESG报告,e_water_total,总用水量,E,quantitative,found,"49,444",立方米,,"耗水量 | 立方米 | 49,444 | 52,281",75,603660_苏州科达_2025_ESG报告:p75:b0,table,2,0.0000,明确数值,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0026,600331_宏达股份_2025_ESG报告,e_voc,挥发性有机物排放量,E,quantitative,found,0,吨,,挥发性有机化合物(VOCs) | 吨 | 0,16,600331_宏达股份_2025_ESG报告:p16:b22,table,2,0.0000,明确数值0,false,false,none,,possible_zero_event,low,high_risk_indicator,zero-event normalization needs source evidence review,true,possible_zero_event
RS-0027,688818_电科蓝天_2025_ESG报告,e_voc,挥发性有机物排放量,E,quantitative,found,444.49,千克,,挥发性有机物（VOCs）排放量 444.49千克,23,688818_电科蓝天_2025_ESG报告:p23:b2,table,3,0.0000,明确数值和单位,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0028,000825_太钢不锈_2025_可持续发展报告,e_environmental_penalty,环境处罚,E,boolean,found,true,,报告中明确披露环保处罚事件为0件，表明无环境处罚记录。,环保处罚事件 | 件 | 0 | 0 | 0,47,000825_太钢不锈_2025_可持续发展报告:p47:b1,table,2,0.0000,明确披露0件,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0029,600009_上海机场_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,上海机场建立了碳排放管理常态化机制，制定多项管理细则，落实相关制度。,· 碳排放管理常态化机制· 合规信息收集数字化工具、报告与分析常态化机制,19,600009_上海机场_2025_ESG报告:p19:b4,table,5,0.9500,明确提及碳排放管理常态化机制,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0030,000503_国新健康_2025_ESG报告,e_green_office,绿色办公,E,boolean,found,true,,推行无纸化办公，构建绿色办公场景，倡导绿色低碳办公方式,完善废弃物管控体系，推行垃圾分类、无纸化办公，构建绿色办公场景，以实际行动守护生态家园。,4,000503_国新健康_2025_ESG报告:p4:b2,paragraph,3,0.0000,明确提及无纸化办公,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0031,600587_新华医疗_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,新华医疗系统构建气候风险防控与价值创造协同体系，强化全流程节能降碳管理，深化供应链协同治理，构建低碳生态共同体。,新华医疗锚定“双碳”目标与高质量发展要求，系统构建气候风险防控与价值创造协同体系。通过优化能源结构、推进低碳技术应用，强化全流程节能降碳管理，提升运营环节低碳韧性；深化供应链协同治理，引导上下游伙伴践行绿色发展理念，构建低碳生态共同体。,53,600587_新华医疗_2025_ESG报告:p53:b3,paragraph,2,0.0000,明确披露碳管理措施,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0032,000968_蓝焰控股_2025_ESG报告,e_biodiversity,生物多样性保护,E,boolean,found,true,,报告明确提及生物多样性保护措施，包括生态修复与生物多样性保护，以及在生态环境与生物多样性保护措施章节中详细说明。,全面加强环境管理体系建设，规范废弃物、生活污水及固体废弃物的无害化处理与资源化利用，开展生态修复与生物多样性保护，在保障能源安全与应对全球气候变化中彰显蓝焰控股新作为。,40,000968_蓝焰控股_2025_ESG报告:p40:b4,paragraph,5,0.0000,明确提及生物多样性保护,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0033,300149_睿智医药_2025_ESG报告,e_green_office,绿色办公,E,boolean,found,true,,公司持续推进节能降碳和绿色办公举措，优化能源使用效率，降低运营过程中的碳排放。,公司持续推进节能降碳和绿色办公举措，优化能源使用效率，降低运营过程中的碳排放。,36,300149_睿智医药_2025_ESG报告:p36:b6,paragraph,2,0.0000,明确提及绿色办公,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0034,002444_巨星科技_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,公司成立绿色低碳工厂管理领导小组，制定《碳排放管理制度》及2023—2028年绿色低碳工厂建设实施目标，积极参与CDP信息披露与SBTi科学碳目标设定。,公司气候行动管理工作由董事长牵头、可持续发展管理委员会统筹推进，从运营层面系统谋划绿色低碳发展路径，构建覆盖全链条的碳管理体系。公司专门成立绿色低碳工厂管理领导小组，制定《碳排放管理制度》及2023—2028年绿色低碳工厂建设实施目标，积极参与CDP信息披露与SBTi科学碳目标设定，以制度化、科学化管理保障碳减排工作持续推进、规范可信。,23,002444_巨星科技_2025_ESG报告:p23:b7,paragraph,2,0.0000,明确披露碳管理措施,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0035,920665_科强股份_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,公司主动对标国家'双碳'战略目标，参考ISO 14064标准进行碳排放核算与动态更新，定期复盘优化管理路径。,为确保公司的低碳发展路径与国家及行业节奏保持一致，科强股份主动对标国家'双碳'战略目标，将节能减排和降碳增效作为推动高质量发展的重要抓手。公司参考 ISO 14064 等国际通行标准，综合运用全球通用与中国本土碳排放因子与数据库，对生产运营活动产生的温室气体排放进行科学核算与动态更新，并通过定期复盘目标完成情况，持续优化碳排放管理和减排路径。,28,920665_科强股份_2025_ESG报告:p28:b1,paragraph,1,0.9500,明确披露碳管理措施,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0036,000923_河钢资源_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,报告中明确提及建立极端天气预警系统、加强矿区排水系统及设备防护、制定应急生产预案等碳排放管理措施。,建立极端天气预警系统;加强矿区排水系统及设备防护;制定应急生产预案。,25,000923_河钢资源_2025_ESG报告:p25:b6,table,1,0.0000,明确提及碳排放管理措施,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0037,600117_西宁特钢_2025_ESG报告,e_biodiversity,生物多样性保护,E,boolean,found,true,,公司明确将生态系统和生物多样性保护列为关注议题，并在报告中披露相关措施。,利益相关方 | 关注议题 | 沟通与回应方式 政府及监管部门 | 公司治理、环境合规管理、应对气候变化、污染物排放、水资源利用、生态系统和生物多样性保护 | 信息报送、政策沟通、专项汇报、合规审查,8,600117_西宁特钢_2025_ESG报告:p8:b3,table,4,0.0000,明确提及生物多样性保护,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0038,603660_苏州科达_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,公司制定并实施减排计划，通过技术升级、优化生产流程、提高能源效率等手段减少碳排放。,"制定并实施减排计划,通过技术升级、优化生产流程、提高能源效率等手段减少碳排放。",73,603660_苏州科达_2025_ESG报告:p73:b9,paragraph,2,0.9500,明确提及减排计划,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0039,688728_格科微_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,公司持续开展碳盘查工作，系统识别温室气体排放源与种类，并进行量化核算，全面掌握碳排放状况。,公司积极响应国际倡议与国家“双碳”战略，持续在上海、嘉善两厂开展碳盘查工作，系统识别温室气体排放源与种类，并进行量化核算，全面掌握碳排放状况。,31,688728_格科微_2025_ESG报告:p31:b1,paragraph,2,0.9500,明确披露碳盘查措施,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0040,601577_长沙银行_2025_可持续发展报告,e_biodiversity,生物多样性保护,E,boolean,found,true,,长沙银行在授信政策中明确将生物多样性保护纳入考量因素，支持生态农业和生态旅游业发展。,关注生物多样性保护和可持续自然资源管理。落实授信客户环境和社会风险管理要求，将企业项目是否涉及湿地、热带雨林、原始森林等生态敏感区域或文化遗产保护区，风景名胜区，饮用水保护区等作为授信审批的考量因素,52,601577_长沙银行_2025_可持续发展报告:p52:b25,paragraph,5,0.9500,明确提及生物多样性保护,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0041,000923_河钢资源_2025_ESG报告,e_green_office,绿色办公,E,boolean,found,true,,公司积极倡导节能降耗、低碳办公，推行电子化、无纸化办公，减少资源消耗。,公司将绿色理念融入日常运营，积极倡导节能降耗、低碳办公的工作方式。我们在办公区域张贴节电节水提示标识，引导员工随手关灯、节约用水，将环保意识落实到细微之处。大力推进电子化、无纸化办公，减少纸质文件印发，严格控制一次性办公用品使用，从源头降低资源消耗。,29,000923_河钢资源_2025_ESG报告:p29:b5,paragraph,2,0.0000,明确披露绿色办公措施,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0042,688400_凌云光_2025_ESG报告,e_environmental_penalty,环境处罚,E,boolean,found,true,,公司全年未发生重大环境违法违规事故，主要生产主体通过ISO14001环境管理体系认证。,全年未发生重大环境违法违规事故。在报告期内，公司主要生产主体均通过了ISO14001环境管理体系认证，全年无重大环境违法违规事故。,44,688400_凌云光_2025_ESG报告:p44:b5,paragraph,2,0.9500,明确披露无环境处罚,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0043,600525_ST长园_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,公司通过碳排放盘查、产品碳足迹核算及双碳培训提升碳管理能力，委托专业机构核查温室气体排放并完成报告。,公司高度重视温室气体排放管理，稳步推进各项降碳工作。部分子公司通过碳排放盘查、产品碳足迹核算及双碳课程培训等方式，全方位提升碳管理能力。报告期内，长园深瑞、长园共创、长园高能委托专业机构开展温室气体核查，并完成核查报告编制。,18,600525_ST长园_2025_ESG报告:p18:b1,paragraph,4,0.0000,明确披露碳管理措施,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0044,605377_华旺科技_2025_ESG报告,e_voc,挥发性有机物排放量,E,quantitative,missing,,,,,,,,0,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0045,001287_中电港_2025_ESG报告,e_voc,挥发性有机物排放量,E,quantitative,missing,,,,,,,,0,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0046,300832_新产业_2025_ESG报告,e_air_pollutants,大气污染物排放,E,quantitative,missing,,,,,,,,1,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0047,301185_鸥玛软件_2025_ESG报告,e_waste_total,废弃物产生量,E,quantitative,missing,,,,,,,,0,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0048,603777_来伊份_2025_ESG报告,e_nonhazardous_waste,一般废弃物产生量,E,quantitative,missing,,,,,,,,0,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0049,002490_山东墨龙_2025_ESG报告,e_ghg_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,,1,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0050,300459_汤姆猫_2025_ESG报告,e_ghg_scope1,直接温室气体排放量,E,quantitative,missing,,,,,,,,0,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0051,688400_凌云光_2025_ESG报告,e_hazardous_waste,危险废弃物产生量,E,quantitative,missing,,,,,,,,3,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0052,000537_绿发电力_2025_ESG报告,e_ghg_scope1,直接温室气体排放量,E,quantitative,missing,,,,,,,,1,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0053,600884_杉杉股份_2025_ESG报告,e_ghg_scope2,间接温室气体排放量,E,quantitative,missing,,,,,,,,0,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0054,600278_东方创业_2025_ESG报告,e_hazardous_waste,危险废弃物产生量,E,quantitative,missing,,,,,,,,1,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0055,603683_晶华新材_2025_ESG报告,e_waste_recycling,废弃物回收利用量,E,quantitative,missing,,,,,,,,5,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0056,600322_津投城开_2025_ESG报告,e_waste_total,废弃物产生量,E,quantitative,missing,,,,,,,,5,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0057,603918_金桥信息_2025_ESG报告,e_nonhazardous_waste,一般废弃物产生量,E,quantitative,missing,,,,,,,,1,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0058,600805_悦达投资_2025_ESG报告,e_ghg_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,,0,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0059,688015_交控科技_2025_ESG暨社会责任报告,e_green_product,绿色产品与服务,E,qualitative,found,,,安全云平台产品研发项目践行资源高效利用与低碳发展理念，减少专用硬件设备数量及空间占地需求，降低原材料消耗和电子废弃物产生，缩短供货周期、降低全生命周期能耗。,安全云平台产品研发项目：该项目基于通用服务器设备开发，不依赖专用硬件，从设计源头践行资源高效利用与低碳发展理念，该平台通过减少专用硬件设备数量及空间占地需求，有效降低生产制造环节的原材料消耗和电子废弃物产生，同时缩短供货周期、降低全生命周期能耗。,35,688015_交控科技_2025_ESG暨社会责任报告:p35:b6,paragraph,2,0.0000,明确提及绿色产品,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0060,001287_中电港_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,found,,,公司积极推出绿色供应链相关业务，契合消费者对碳排放的关注，推动绿色产品与服务发展。,"随着消费者对碳排放的关注持续上升,公司积极推出绿色供应链相关业务,以占有更多市场份额",25,001287_中电港_2025_ESG报告:p25:b9,table,3,0.0000,直接引用,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0061,002011_盾安环境_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,found,,,公司加快绿色技术创新，持续完善CO₂系列低碳产品解决方案，推动绿色产品设计与研发，打造自然友好型产品。,在产品端，公司加快绿色技术创新，持续完善CO₂系列低碳产品解决方案；并通过绿色制造与数字化管理协同推进，带动生产效率与资源利用水平同步提升，以绿色创新引领行业迈向高质量可持续发展。,4,002011_盾安环境_2025_ESG报告:p4:b5,paragraph,5,0.0000,明确提及绿色产品创新,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0062,600400_红豆股份_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,found,,,红豆股份通过体系化资源管理、绿色产品研发与循环经济实践，降低环境足迹，探索纺织服装行业低碳转型路径。,红豆股份将环境管理深度融入运营流程，以碳中和目标为引领，通过体系化资源管理、绿色产品研发与循环经济实践，降低环境足迹；同时，严格履行环境合规义务，强化污染防控与废弃物资源化处理，积极探索纺织服装行业的低碳转型路径，助力生态友好型产业生态构建。,35,600400_红豆股份_2025_ESG报告:p35:b8,paragraph,3,0.9000,明确提及绿色产品研发,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0063,600996_贵广网络_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,found,,,贵广网络通过创新宣传形式普及环保知识，倡导低碳理念，引导公众践行绿色生活方式；深化绿色运营管理，推行绿色办公、绿色施工，优先选用低碳环保材料，严控污染物排放；推进广电5G网络、有线电视、宽带业务低碳化升级，探索绿色技术应用，助力生态环境质量提升。,在环境责任方面，坚持生态优先、绿色发展，守好发展和生态两条底线，按照《中共贵州省委关于制定贵州省国民经济和社会发展第十五个五年规划的建议》相关要求，深入践行美丽贵州建设要求，立足党媒政网职责使命，持续加大生态环保宣传力度，创新宣传形式，普及环保知识、倡导低碳理念，引导公众践行绿色生活方式。深化绿色运营管理，全面推行绿色办公、绿色施工，在项目建设中优先选用低碳环保、节能降耗材料，严控各类污染物排放。健全环境应急预案体系，强化极端天气、生态灾害等突发情况的应急处置能力，保障广电网络服务稳定畅通。推进广电5G网络、有线电视、宽带业务低碳化升级，探索绿色技术在网络建设、运维中的深度应用，助力“绿水青山就是金山银山”转换路径拓宽，践行生态保护责任，助力贵州生态环境质量持续提升。,31,600996_贵广网络_2025_ESG报告:p31:b2,paragraph,1,0.9500,明确提及绿色产品与服务相关措施,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0064,301308_江波龙_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,found,,,江波龙通过工艺优化生产mSSD，避免高能耗工序，降低能源消耗与碳排放，控制单位产品碳足迹；产品使用阶段功耗符合低功耗要求，助力客户能效优化。,在制造与使用环节，mSSD通过工艺优化有效回应客户对低碳与绿色产品的需求。其生产流程避免了传统贴片等高能耗工序，在保证产品性能与质量的同时，显著降低能源消耗与碳排放，有效控制单位产品碳足迹。在产品使用阶段，mSSD的功耗表现符合相关协议的低功耗要求，峰值功耗亦满足行业规范，有助干客户在系统层面实现能效优化目标。,29,301308_江波龙_2025_ESG报告:p29:b1,paragraph,2,0.0000,直接引用描述绿色产品,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
