report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,evidence_quote,page_no,block_id,block_type,risk_tag,risk_level,caution_tag,suspected_issue_type,risk_reason
002663_普邦股份_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,9,次,召开董事会 9次,9,002663_普邦股份_2025_ESG报告:p9:b10,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
002663_普邦股份_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,3,次,召开股东会 3次,9,002663_普邦股份_2025_ESG报告:p9:b9,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
002692_远程股份_2026_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,秉持商业道德,2,002692_远程股份_2026_ESG报告:p2:b17,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
002849_威星智能_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,found,,,绿色产品认证 2,40,002849_威星智能_2025_ESG报告:p40:b1,title,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
01359_中国信达_2025_ESG暨社会责任报告,s_supplier,供应商管理,S,boolean,found,true,,供应商管理,25,01359_中国信达_2025_ESG暨社会责任报告:p25:b4,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
300212_易华录_2025_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,商业道德 / 34,2,300212_易华录_2025_ESG报告:p2:b25,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
300832_新产业_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,3,次,董事会会议3次,8,300832_新产业_2025_ESG报告:p8:b2,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
301043_绿岛风_2025_ESG报告,s_patents,专利数量,S,quantitative,found,2,项,发明专利 2,18,301043_绿岛风_2025_ESG报告:p18:b8,title,evidence_too_short,medium,high_risk_indicator,evidence_too_short,evidence_quote is too short for reliable verification
301185_鸥玛软件_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,7,次,召开董事会7次,10,301185_鸥玛软件_2025_ESG报告:p10:b0,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
301370_国科恒泰_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,6,次,股东会召开6次,13,301370_国科恒泰_2025_ESG报告:p13:b2,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
600199_金种子酒_2025_ESG报告,s_patents,专利数量,S,quantitative,found,31,项,授权专利31项,28,600199_金种子酒_2025_ESG报告:p28:b5,table,evidence_too_short,medium,high_risk_indicator,evidence_too_short,evidence_quote is too short for reliable verification
600400_红豆股份_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,6,次,董事会会议6次,9,600400_红豆股份_2025_ESG报告:p9:b10,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
600480_凌云股份_2025_ESG报告,g_tax_transparency,税务透明,G,qualitative,found,,,依法纳税,17,600480_凌云股份_2025_ESG报告:p17:b2,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
600737_中粮糖业_2025_ESG报告,g_tax_transparency,税务透明,G,qualitative,found,,,依法纳税,10,600737_中粮糖业_2025_ESG报告:p10:b17,list,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
600737_中粮糖业_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,found,3,人,·工伤人数 3 人,45,600737_中粮糖业_2025_ESG报告:p45:b14,list,evidence_too_short,medium,high_risk_indicator,evidence_too_short,evidence_quote is too short for reliable verification
600779_水井坊_2025_ESG报告,s_supplier,供应商管理,S,boolean,found,true,,供应链管理,11,600779_水井坊_2025_ESG报告:p11:b0,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
600783_鲁信创投_2025_ESG报告,s_rural_revitalization,乡村振兴,S,qualitative,found,,,18乡村振兴,12,600783_鲁信创投_2025_ESG报告:p12:b4,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
600805_悦达投资_2025_ESG报告,e_renewable_energy,可再生能源使用量,E,quantitative,found,520,MWh,520MWh,14,600805_悦达投资_2025_ESG报告:p14:b10,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
600855_航天长峰_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,5,次,股东会 | 次 | 5,54,600855_航天长峰_2025_ESG报告:p54:b1,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
600877_电科芯片_2025_ESG暨社会责任报告,s_employee_rights,员工权益保障,S,qualitative,found,,,保障员工权益 2,18,600877_电科芯片_2025_ESG暨社会责任报告:p18:b0,title,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
603257_中国瑞林_2025_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,恪守商业道德,14,603257_中国瑞林_2025_ESG报告:p14:b3,list,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
603329_上海雅仕_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,found,1,人,女性董事 | 1人,21,603329_上海雅仕_2025_ESG报告:p21:b7,table,evidence_too_short,medium,high_risk_indicator,evidence_too_short,evidence_quote is too short for reliable verification
603868_飞科电器_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,found,1,人,女性 | 1,20,603868_飞科电器_2025_ESG报告:p20:b22,table,evidence_too_short,medium,high_risk_indicator,evidence_too_short,evidence_quote is too short for reliable verification
603979_金诚信_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,4,次,股东会 | 4次,25,603979_金诚信_2025_ESG报告:p25:b6,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
603990_麦迪科技_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,0,件,客户投诉数量0,34,603990_麦迪科技_2025_ESG报告:p34:b15,paragraph,evidence_too_short,medium,high_risk_indicator,evidence_too_short,evidence_quote is too short for reliable verification
605599_菜百股份_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,found,7,次,董事会召开7次,5,605599_菜百股份_2025_ESG报告:p5:b2,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
605599_菜百股份_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,4,次,股东会召开4次,5,605599_菜百股份_2025_ESG报告:p5:b2,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
688015_交控科技_2025_ESG暨社会责任报告,g_board_diversity,董事会多元化,G,quantitative,found,4,人,女性董事4人,9,688015_交控科技_2025_ESG暨社会责任报告:p9:b34,paragraph,evidence_too_short,medium,high_risk_indicator,evidence_too_short,evidence_quote is too short for reliable verification
688015_交控科技_2025_ESG暨社会责任报告,g_board_meetings,董事会会议次数,G,quantitative,found,5,次,召开董事会5次,9,688015_交控科技_2025_ESG暨社会责任报告:p9:b22,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
688261_东微半导_2026_ESG报告,s_work_injury,工伤事故,S,quantitative,found,1,人,总工伤人数1人,39,688261_东微半导_2026_ESG报告:p39:b42,paragraph,evidence_too_short,medium,high_risk_indicator,evidence_too_short,evidence_quote is too short for reliable verification
688439_振华风光_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,ESG治理架构,44,688439_振华风光_2025_ESG报告:p44:b1,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
688509_正元地信_2025_ESG报告,s_employee_rights,员工权益保障,S,qualitative,found,,,一、员工权益 2,21,688509_正元地信_2025_ESG报告:p21:b1,title,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
920029_开发科技_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,found,38,%,女性占比38%,53,920029_开发科技_2025_ESG报告:p53:b15,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
920039_国义招标_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,4,次,股东会 | 次 | 4,57,920039_国义招标_2025_ESG报告:p57:b2,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
000758_中色股份_2025_ESG暨社会责任报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,ESG治理架构 2,9,000758_中色股份_2025_ESG暨社会责任报告:p9:b6,title,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
002048_宁波华翔_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,01 可持续发展治理,7,002048_宁波华翔_2025_ESG报告:p7:b13,image,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
002079_苏州固锝_2025_ESG报告,e_environmental_penalty,环境处罚,E,boolean,found,true,,全年无环境违法事件,8,002079_苏州固锝_2025_ESG报告:p8:b39,list,possible_policy_as_boolean,medium,high_risk_indicator,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
002958_青农商行_2025_可持续发展报告,g_audit_committee,审计委员会,G,boolean,found,true,,审计委员会 | 3 | 1 | 是,17,002958_青农商行_2025_可持续发展报告:p17:b2,table,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
003030_祖名股份_2025_ESG报告,g_compliance_management,合规管理,G,boolean,found,true,,环境合规管理 52,2,003030_祖名股份_2025_ESG报告:p2:b10,paragraph,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
003030_祖名股份_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,可持续发展治理体系,5,003030_祖名股份_2025_ESG报告:p5:b3,paragraph,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
300527_ST应急_2025_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,商业道德与审计监督 2,21,300527_ST应急_2025_ESG报告:p21:b0,title,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
300547_川环科技_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,found,true,,禁止童工和强迫劳动,23,300547_川环科技_2025_ESG报告:p23:b10,paragraph,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
300834_星辉环材_2025_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,商业道德 | 政府监管,10,300834_星辉环材_2025_ESG报告:p10:b2,table,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
300982_苏文电能_2025_ESG报告,e_environmental_penalty,环境处罚,E,boolean,found,true,,环境违规处罚事件0起,31,300982_苏文电能_2025_ESG报告:p31:b7,table,possible_policy_as_boolean,medium,high_risk_indicator,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
301308_江波龙_2025_ESG报告,e_environmental_penalty,环境处罚,E,boolean,found,true,,环境违规事件数 | 件 | 0,78,301308_江波龙_2025_ESG报告:p78:b1,table,possible_policy_as_boolean,medium,high_risk_indicator,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600009_上海机场_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,公司可持续发展治理架构,12,600009_上海机场_2025_ESG报告:p12:b0,title,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600456_宝钛股份_2025_ESG报告,g_audit_committee,审计委员会,G,boolean,found,true,,审计委员会召开会议9次,11,600456_宝钛股份_2025_ESG报告:p11:b16,paragraph,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600475_华光环能_2025_ESG报告,e_environmental_penalty,环境处罚,E,boolean,found,true,,环境违规事件 | 件 | 0,33,600475_华光环能_2025_ESG报告:p33:b2,table,possible_policy_as_boolean,medium,high_risk_indicator,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600525_ST长园_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,ESG治理体系 2,7,600525_ST长园_2025_ESG报告:p7:b1,title,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600684_珠江股份_2025_ESG暨社会责任报告,g_business_ethics,商业道德,G,boolean,found,true,,恪守商业道德 81,2,600684_珠江股份_2025_ESG暨社会责任报告:p2:b30,paragraph,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600779_水井坊_2025_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,商业道德与诚信经营,8,600779_水井坊_2025_ESG报告:p8:b13,list,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600779_水井坊_2025_ESG报告,g_compliance_management,合规管理,G,boolean,found,true,,环境合规管理（新增）,9,600779_水井坊_2025_ESG报告:p9:b5,list,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600779_水井坊_2025_ESG报告,s_data_security,数据安全与隐私保护,S,boolean,found,true,,数据安全与客户隐私保护,8,600779_水井坊_2025_ESG报告:p8:b5,list,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600850_电科数字_2025_ESG报告,g_compliance_management,合规管理,G,boolean,found,true,,公司合规管理体系,11,600850_电科数字_2025_ESG报告:p11:b12,paragraph,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
600919_江苏银行_2025_可持续发展报告,g_business_ethics,商业道德,G,boolean,found,true,,治理 | 26 | 商业道德,11,600919_江苏银行_2025_可持续发展报告:p11:b11,table,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
601956_东贝集团_2025_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,遵守商业道德 36,2,601956_东贝集团_2025_ESG报告:p2:b16,paragraph,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
601956_东贝集团_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,可持续发展治理 2,11,601956_东贝集团_2025_ESG报告:p11:b1,title,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
601975_招商南油_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,可持续发展治理架构 12,2,601975_招商南油_2025_ESG报告:p2:b11,paragraph,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
603082_北自科技_2025_ESG报告,s_data_security,数据安全与隐私保护,S,boolean,found,true,,信息安全与隐私保护,15,603082_北自科技_2025_ESG报告:p15:b2,table,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
603329_上海雅仕_2025_ESG报告,g_audit_committee,审计委员会,G,boolean,found,true,,审计委员会 | 次 | 9,22,603329_上海雅仕_2025_ESG报告:p22:b0,table,possible_policy_as_boolean,medium,,possible_policy_as_boolean,boolean evidence is only a short title-like phrase
